,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Name,BG_staticGird_StructuredLight_100_afterMirror,BG_staticGird_StructuredLight_100_offDome,BG_staticGird_StructuredLight_100_beforeMirror,BG_staticGird_StructuredLight_100_afterMirror,BG_staticGird_StructuredLight_100_offDome,BG_staticGird_StructuredLight_100_beforeMirror,BG_staticGird_StructuredLight_100_afterMirror,BG_staticGird_StructuredLight,RB_staticGird_StructuredLight,RG_staticGird_StructuredLight,B_staticGird_StructuredLight_100,G_staticGird_StructuredLight_100,BG_staticGird_StructuredLight_100_offDome,BG_staticGird_StructuredLight_100_beforeMirror,BG_staticGird_StructuredLight_100_afterMirror
Date,10/28/2014,10/28/2014,10/28/2014,10/28/2014,10/28/2014,10/28/2014,10/28/2014,10/28/2014,10/28/2014,10/28/2014,10/28/2014,10/28/2014,10/28/2014,10/28/2014,10/28/2014
Time,15:18pm,15:12pm,15:16pm,15:18pm,15:12pm,15:16pm,15:18pm,14:47pm,14:53pm,14:59pm,15:08pm,15:11pm,15:12pm,15:16pm,15:18pm
T_int [ms],6913,6515,24,6913,6515,24,6913,10293,16749,11365,8916,6340,6515,24,6913
352 nm,4.01300E-06,4.28398E-06,1.59704E-03,4.01300E-06,4.28398E-06,1.59704E-03,4.01300E-06,1.82350E-06,3.82063E-06,2.01758E-07,2.84069E-07,1.90991E-06,4.28398E-06,1.59704E-03,4.01300E-06
353 nm,2.57591E-06,3.56938E-06,1.28526E-03,2.57591E-06,3.56938E-06,1.28526E-03,2.57591E-06,3.04227E-06,8.10774E-08,2.09677E-06,1.94987E-06,0.00000E+00,3.56938E-06,1.28526E-03,2.57591E-06
354 nm,4.84547E-08,0.00000E+00,1.33619E-03,4.84547E-08,0.00000E+00,1.33619E-03,4.84547E-08,2.49183E-06,2.84018E-06,0.00000E+00,4.39882E-07,0.00000E+00,0.00000E+00,1.33619E-03,4.84547E-08
355 nm,1.56811E-06,0.00000E+00,1.11795E-03,1.56811E-06,0.00000E+00,1.11795E-03,1.56811E-06,1.05476E-06,1.38278E-06,5.63972E-07,3.27627E-06,1.81333E-06,0.00000E+00,1.11795E-03,1.56811E-06
356 nm,1.68369E-06,2.84507E-06,1.26580E-03,1.68369E-06,2.84507E-06,1.26580E-03,1.68369E-06,1.87244E-06,1.17109E-06,3.22974E-07,3.03560E-06,2.05310E-06,2.84507E-06,1.26580E-03,1.68369E-06
357 nm,2.82987E-06,2.32849E-06,1.19388E-03,2.82987E-06,2.32849E-06,1.19388E-03,2.82987E-06,1.47907E-06,1.80309E-06,1.37695E-08,2.39643E-06,1.10393E-08,2.32849E-06,1.19388E-03,2.82987E-06
358 nm,2.14765E-06,3.37722E-06,1.36076E-03,2.14765E-06,3.37722E-06,1.36076E-03,2.14765E-06,2.20457E-06,1.48393E-06,2.15435E-07,3.05979E-06,4.76844E-07,3.37722E-06,1.36076E-03,2.14765E-06
359 nm,2.17645E-06,5.30088E-06,1.95642E-03,2.17645E-06,5.30088E-06,1.95642E-03,2.17645E-06,3.63175E-06,3.46867E-06,1.08869E-06,4.74705E-06,6.85127E-08,5.30088E-06,1.95642E-03,2.17645E-06
360 nm,4.92157E-06,7.26012E-06,2.89632E-03,4.92157E-06,7.26012E-06,2.89632E-03,4.92157E-06,6.06291E-06,5.54921E-06,0.00000E+00,8.26114E-06,0.00000E+00,7.26012E-06,2.89632E-03,4.92157E-06
361 nm,7.41334E-06,1.03344E-05,4.39386E-03,7.41334E-06,1.03344E-05,4.39386E-03,7.41334E-06,1.00435E-05,8.77068E-06,7.54436E-08,1.23350E-05,0.00000E+00,1.03344E-05,4.39386E-03,7.41334E-06
362 nm,1.09099E-05,1.81432E-05,6.44635E-03,1.09099E-05,1.81432E-05,6.44635E-03,1.09099E-05,1.43593E-05,1.23209E-05,0.00000E+00,1.61872E-05,2.24666E-08,1.81432E-05,6.44635E-03,1.09099E-05
363 nm,1.32840E-05,2.42979E-05,9.18119E-03,1.32840E-05,2.42979E-05,9.18119E-03,1.32840E-05,2.01652E-05,1.68804E-05,5.31366E-07,2.59716E-05,2.69314E-08,2.42979E-05,9.18119E-03,1.32840E-05
364 nm,1.95737E-05,3.60936E-05,1.29959E-02,1.95737E-05,3.60936E-05,1.29959E-02,1.95737E-05,2.88317E-05,2.38814E-05,0.00000E+00,3.47979E-05,1.39311E-06,3.60936E-05,1.29959E-02,1.95737E-05
365 nm,2.85836E-05,4.53226E-05,1.72193E-02,2.85836E-05,4.53226E-05,1.72193E-02,2.85836E-05,3.60072E-05,3.04376E-05,5.16048E-07,4.63207E-05,1.04397E-06,4.53226E-05,1.72193E-02,2.85836E-05
366 nm,3.69564E-05,6.09776E-05,2.27104E-02,3.69564E-05,6.09776E-05,2.27104E-02,3.69564E-05,4.57292E-05,3.94476E-05,5.41830E-07,6.10104E-05,2.04844E-06,6.09776E-05,2.27104E-02,3.69564E-05
367 nm,4.66656E-05,7.41503E-05,2.82656E-02,4.66656E-05,7.41503E-05,2.82656E-02,4.66656E-05,5.42830E-05,4.60054E-05,0.00000E+00,7.25292E-05,5.45617E-07,7.41503E-05,2.82656E-02,4.66656E-05
368 nm,5.64493E-05,8.81441E-05,3.43089E-02,5.64493E-05,8.81441E-05,3.43089E-02,5.64493E-05,6.24218E-05,5.37318E-05,3.52669E-07,8.69600E-05,1.60136E-07,8.81441E-05,3.43089E-02,5.64493E-05
369 nm,6.49973E-05,1.02839E-04,3.98816E-02,6.49973E-05,1.02839E-04,3.98816E-02,6.49973E-05,6.90124E-05,5.99743E-05,0.00000E+00,1.01214E-04,0.00000E+00,1.02839E-04,3.98816E-02,6.49973E-05
370 nm,6.73589E-05,1.05065E-04,4.19699E-02,6.73589E-05,1.05065E-04,4.19699E-02,6.73589E-05,6.82930E-05,5.88476E-05,1.08448E-07,1.03866E-04,3.33517E-07,1.05065E-04,4.19699E-02,6.73589E-05
371 nm,7.14025E-05,1.10736E-04,4.43647E-02,7.14025E-05,1.10736E-04,4.43647E-02,7.14025E-05,6.81218E-05,5.78076E-05,9.33694E-08,1.08087E-04,6.40291E-07,1.10736E-04,4.43647E-02,7.14025E-05
372 nm,7.18507E-05,1.06940E-04,4.40316E-02,7.18507E-05,1.06940E-04,4.40316E-02,7.18507E-05,6.12130E-05,5.41726E-05,5.34528E-07,1.04683E-04,0.00000E+00,1.06940E-04,4.40316E-02,7.18507E-05
373 nm,6.83532E-05,9.85090E-05,4.23198E-02,6.83532E-05,9.85090E-05,4.23198E-02,6.83532E-05,5.54727E-05,4.86013E-05,8.90744E-08,9.84089E-05,7.18009E-07,9.85090E-05,4.23198E-02,6.83532E-05
374 nm,6.05000E-05,8.54245E-05,3.69671E-02,6.05000E-05,8.54245E-05,3.69671E-02,6.05000E-05,4.62619E-05,3.98246E-05,3.71910E-07,8.57901E-05,0.00000E+00,8.54245E-05,3.69671E-02,6.05000E-05
375 nm,5.42740E-05,7.78262E-05,3.40945E-02,5.42740E-05,7.78262E-05,3.40945E-02,5.42740E-05,3.96808E-05,3.58769E-05,6.60453E-08,7.68377E-05,5.34690E-08,7.78262E-05,3.40945E-02,5.42740E-05
376 nm,4.59678E-05,6.58093E-05,2.89697E-02,4.59678E-05,6.58093E-05,2.89697E-02,4.59678E-05,3.28986E-05,2.98918E-05,4.49520E-08,6.48300E-05,8.64422E-09,6.58093E-05,2.89697E-02,4.59678E-05
377 nm,3.84232E-05,5.38856E-05,2.43578E-02,3.84232E-05,5.38856E-05,2.43578E-02,3.84232E-05,2.75168E-05,2.39803E-05,2.55386E-07,5.33732E-05,1.54805E-08,5.38856E-05,2.43578E-02,3.84232E-05
378 nm,3.28588E-05,4.48025E-05,2.03723E-02,3.28588E-05,4.48025E-05,2.03723E-02,3.28588E-05,2.30917E-05,2.03486E-05,5.50224E-07,4.55388E-05,2.06920E-07,4.48025E-05,2.03723E-02,3.28588E-05
379 nm,2.75193E-05,3.81058E-05,1.74565E-02,2.75193E-05,3.81058E-05,1.74565E-02,2.75193E-05,1.99931E-05,1.77055E-05,5.55571E-07,3.77120E-05,1.56061E-08,3.81058E-05,1.74565E-02,2.75193E-05
380 nm,2.25258E-05,3.36019E-05,1.43672E-02,2.25258E-05,3.36019E-05,1.43672E-02,2.25258E-05,1.64088E-05,1.40624E-05,3.22772E-07,3.15613E-05,4.06403E-07,3.36019E-05,1.43672E-02,2.25258E-05
381 nm,1.94427E-05,2.70845E-05,1.20216E-02,1.94427E-05,2.70845E-05,1.20216E-02,1.94427E-05,1.38112E-05,1.24064E-05,7.84553E-07,2.73869E-05,1.00337E-06,2.70845E-05,1.20216E-02,1.94427E-05
382 nm,1.55053E-05,2.27768E-05,9.82339E-03,1.55053E-05,2.27768E-05,9.82339E-03,1.55053E-05,1.14766E-05,9.80245E-06,0.00000E+00,2.16728E-05,4.18152E-07,2.27768E-05,9.82339E-03,1.55053E-05
383 nm,1.33514E-05,1.73932E-05,7.94125E-03,1.33514E-05,1.73932E-05,7.94125E-03,1.33514E-05,8.81487E-06,8.03186E-06,4.75998E-07,1.68306E-05,4.78672E-07,1.73932E-05,7.94125E-03,1.33514E-05
384 nm,1.10179E-05,1.46775E-05,6.60583E-03,1.10179E-05,1.46775E-05,6.60583E-03,1.10179E-05,7.30371E-06,6.79714E-06,1.85297E-08,1.43509E-05,1.15931E-07,1.46775E-05,6.60583E-03,1.10179E-05
385 nm,7.96260E-06,1.17467E-05,5.26145E-03,7.96260E-06,1.17467E-05,5.26145E-03,7.96260E-06,6.05648E-06,5.32199E-06,4.53922E-07,1.17792E-05,3.77952E-10,1.17467E-05,5.26145E-03,7.96260E-06
386 nm,7.02720E-06,9.36850E-06,4.14112E-03,7.02720E-06,9.36850E-06,4.14112E-03,7.02720E-06,4.40520E-06,3.73467E-06,0.00000E+00,9.10757E-06,2.93219E-07,9.36850E-06,4.14112E-03,7.02720E-06
387 nm,5.00659E-06,7.04642E-06,3.22754E-03,5.00659E-06,7.04642E-06,3.22754E-03,5.00659E-06,3.92876E-06,2.91161E-06,1.57680E-07,7.23519E-06,7.06396E-07,7.04642E-06,3.22754E-03,5.00659E-06
388 nm,3.82878E-06,5.67855E-06,2.58754E-03,3.82878E-06,5.67855E-06,2.58754E-03,3.82878E-06,3.18965E-06,2.70007E-06,3.14548E-07,5.65557E-06,3.97896E-07,5.67855E-06,2.58754E-03,3.82878E-06
389 nm,3.16646E-06,4.58867E-06,1.94007E-03,3.16646E-06,4.58867E-06,1.94007E-03,3.16646E-06,2.51707E-06,1.96699E-06,1.55176E-07,3.78374E-06,0.00000E+00,4.58867E-06,1.94007E-03,3.16646E-06
390 nm,2.25541E-06,2.93910E-06,1.41745E-03,2.25541E-06,2.93910E-06,1.41745E-03,2.25541E-06,1.44552E-06,1.33451E-06,0.00000E+00,3.00677E-06,5.47918E-07,2.93910E-06,1.41745E-03,2.25541E-06
391 nm,1.79669E-06,2.34988E-06,1.14986E-03,1.79669E-06,2.34988E-06,1.14986E-03,1.79669E-06,1.56572E-06,1.06565E-06,1.62026E-07,2.11468E-06,5.63363E-08,2.34988E-06,1.14986E-03,1.79669E-06
392 nm,1.34594E-06,2.13771E-06,8.79209E-04,1.34594E-06,2.13771E-06,8.79209E-04,1.34594E-06,1.17304E-06,7.32411E-07,9.39107E-08,1.75124E-06,5.53294E-07,2.13771E-06,8.79209E-04,1.34594E-06
393 nm,1.42044E-06,1.74018E-06,6.49586E-04,1.42044E-06,1.74018E-06,6.49586E-04,1.42044E-06,8.47926E-07,5.24252E-07,1.33794E-07,1.62179E-06,2.46846E-07,1.74018E-06,6.49586E-04,1.42044E-06
