,,,,,,,,
,,,,,,,,
,,,,,,,,
Name,UVdome_video_eyepoint,UVdome_struct_eyepoint_BG,UVdome_struct_eyepoint_UV,UVdome_struct_eyepoint,UVdome_video_eyepoint,UVdome_struct_eyepoint_BG,UVdome_struct_eyepoint_UV,UVdome_struct_eyepoint
Date,10/30/2014,11/03/2014,11/03/2014,11/03/2014,10/30/2014,11/03/2014,11/03/2014,11/03/2014
Time,10:58am,08:49am,08:55am,09:02am,10:58am,08:49am,08:55am,09:02am
692 nm,7.73047E-07,2.74433E-06,7.42692E-08,2.49372E-06,7.73047E-07,2.74433E-06,7.42692E-08,2.49372E-06
693 nm,1.06682E-06,2.74803E-06,1.73836E-07,2.47861E-06,1.06682E-06,2.74803E-06,1.73836E-07,2.47861E-06
694 nm,7.83188E-07,2.42092E-06,4.30411E-08,2.48189E-06,7.83188E-07,2.42092E-06,4.30411E-08,2.48189E-06
695 nm,7.16991E-07,2.68747E-06,1.43439E-08,2.81809E-06,7.16991E-07,2.68747E-06,1.43439E-08,2.81809E-06
696 nm,3.99530E-07,2.50261E-06,6.36729E-10,2.33843E-06,3.99530E-07,2.50261E-06,6.36729E-10,2.33843E-06
697 nm,7.98018E-07,2.13910E-06,3.12308E-08,2.20884E-06,7.98018E-07,2.13910E-06,3.12308E-08,2.20884E-06
698 nm,4.88921E-07,2.09278E-06,9.30497E-08,2.45802E-06,4.88921E-07,2.09278E-06,9.30497E-08,2.45802E-06
699 nm,6.91962E-07,1.78380E-06,0.00000E+00,2.03542E-06,6.91962E-07,1.78380E-06,0.00000E+00,2.03542E-06
700 nm,6.49600E-07,2.13550E-06,0.00000E+00,2.16163E-06,6.49600E-07,2.13550E-06,0.00000E+00,2.16163E-06
701 nm,5.45595E-07,2.04983E-06,4.52687E-08,2.35525E-06,5.45595E-07,2.04983E-06,4.52687E-08,2.35525E-06
702 nm,5.75038E-07,1.57269E-06,4.95742E-09,1.89707E-06,5.75038E-07,1.57269E-06,4.95742E-09,1.89707E-06
703 nm,5.61082E-07,2.22774E-06,1.65542E-08,1.56483E-06,5.61082E-07,2.22774E-06,1.65542E-08,1.56483E-06
704 nm,6.01020E-07,2.08020E-06,1.83412E-09,1.81308E-06,6.01020E-07,2.08020E-06,1.83412E-09,1.81308E-06
705 nm,3.80408E-07,1.46302E-06,2.59456E-09,1.70151E-06,3.80408E-07,1.46302E-06,2.59456E-09,1.70151E-06
706 nm,6.00726E-07,1.60727E-06,1.32059E-07,1.79602E-06,6.00726E-07,1.60727E-06,1.32059E-07,1.79602E-06
707 nm,4.51423E-07,1.89412E-06,7.67451E-08,1.95644E-06,4.51423E-07,1.89412E-06,7.67451E-08,1.95644E-06
708 nm,5.63535E-07,1.61965E-06,0.00000E+00,1.80434E-06,5.63535E-07,1.61965E-06,0.00000E+00,1.80434E-06
709 nm,3.48554E-07,1.48443E-06,1.82638E-07,1.29854E-06,3.48554E-07,1.48443E-06,1.82638E-07,1.29854E-06
710 nm,8.52735E-07,1.49829E-06,0.00000E+00,1.74308E-06,8.52735E-07,1.49829E-06,0.00000E+00,1.74308E-06
711 nm,4.94821E-07,1.20028E-06,5.97333E-08,1.54569E-06,4.94821E-07,1.20028E-06,5.97333E-08,1.54569E-06
712 nm,2.74963E-07,1.47732E-06,3.40683E-08,1.30914E-06,2.74963E-07,1.47732E-06,3.40683E-08,1.30914E-06
713 nm,3.30820E-07,1.28629E-06,1.75563E-07,1.54347E-06,3.30820E-07,1.28629E-06,1.75563E-07,1.54347E-06
714 nm,4.16241E-07,1.36148E-06,5.62294E-08,9.05161E-07,4.16241E-07,1.36148E-06,5.62294E-08,9.05161E-07
715 nm,2.42300E-07,1.36647E-06,6.16593E-07,1.67088E-06,2.42300E-07,1.36647E-06,6.16593E-07,1.67088E-06
716 nm,3.81364E-07,1.36190E-06,3.19564E-07,1.56784E-06,3.81364E-07,1.36190E-06,3.19564E-07,1.56784E-06
717 nm,4.12801E-07,8.54779E-07,0.00000E+00,1.17567E-06,4.12801E-07,8.54779E-07,0.00000E+00,1.17567E-06
718 nm,3.78814E-07,1.41286E-06,4.39830E-07,1.35692E-06,3.78814E-07,1.41286E-06,4.39830E-07,1.35692E-06
719 nm,3.71887E-07,9.13911E-07,0.00000E+00,1.26641E-06,3.71887E-07,9.13911E-07,0.00000E+00,1.26641E-06
720 nm,9.18191E-08,1.20287E-06,6.32353E-09,1.25281E-06,9.18191E-08,1.20287E-06,6.32353E-09,1.25281E-06
721 nm,4.87553E-07,1.34568E-06,1.35935E-08,9.56565E-07,4.87553E-07,1.34568E-06,1.35935E-08,9.56565E-07
722 nm,5.23049E-07,7.05851E-07,1.76941E-08,1.75111E-06,5.23049E-07,7.05851E-07,1.76941E-08,1.75111E-06
723 nm,4.24063E-07,1.23306E-06,8.98448E-08,9.80006E-07,4.24063E-07,1.23306E-06,8.98448E-08,9.80006E-07
724 nm,2.19235E-07,7.51188E-07,1.93986E-08,1.13440E-06,2.19235E-07,7.51188E-07,1.93986E-08,1.13440E-06
725 nm,2.20781E-07,1.00425E-06,0.00000E+00,7.36863E-07,2.20781E-07,1.00425E-06,0.00000E+00,7.36863E-07
726 nm,2.91585E-07,9.70167E-07,1.11063E-10,1.21209E-06,2.91585E-07,9.70167E-07,1.11063E-10,1.21209E-06
727 nm,1.91078E-07,8.18181E-07,4.39739E-08,8.57509E-07,1.91078E-07,8.18181E-07,4.39739E-08,8.57509E-07
728 nm,5.15016E-07,6.87082E-07,5.07915E-08,1.13882E-06,5.15016E-07,6.87082E-07,5.07915E-08,1.13882E-06
729 nm,2.88837E-07,1.24614E-06,2.66665E-07,8.39571E-07,2.88837E-07,1.24614E-06,2.66665E-07,8.39571E-07
730 nm,1.95632E-07,4.62344E-07,4.64830E-08,1.07955E-06,1.95632E-07,4.62344E-07,4.64830E-08,1.07955E-06
731 nm,2.86118E-08,7.45638E-07,8.55625E-08,8.44641E-07,2.86118E-08,7.45638E-07,8.55625E-08,8.44641E-07
732 nm,3.75748E-07,5.38295E-07,3.30755E-07,7.26841E-07,3.75748E-07,5.38295E-07,3.30755E-07,7.26841E-07
733 nm,6.82527E-08,7.82607E-07,1.79242E-07,1.02267E-06,6.82527E-08,7.82607E-07,1.79242E-07,1.02267E-06
734 nm,3.22313E-07,7.60166E-07,0.00000E+00,5.70503E-07,3.22313E-07,7.60166E-07,0.00000E+00,5.70503E-07
735 nm,1.52956E-07,8.03523E-07,2.49743E-07,9.37371E-07,1.52956E-07,8.03523E-07,2.49743E-07,9.37371E-07
736 nm,2.57822E-07,3.92631E-07,0.00000E+00,4.72175E-07,2.57822E-07,3.92631E-07,0.00000E+00,4.72175E-07
737 nm,1.64756E-07,6.25274E-07,4.89942E-09,3.64459E-07,1.64756E-07,6.25274E-07,4.89942E-09,3.64459E-07
738 nm,2.17613E-07,7.55741E-07,4.57537E-09,5.79072E-07,2.17613E-07,7.55741E-07,4.57537E-09,5.79072E-07
739 nm,5.11056E-07,8.09802E-07,3.20908E-08,5.02783E-07,5.11056E-07,8.09802E-07,3.20908E-08,5.02783E-07
740 nm,1.40561E-07,5.86995E-07,1.82846E-07,3.25633E-07,1.40561E-07,5.86995E-07,1.82846E-07,3.25633E-07
741 nm,0.00000E+00,1.10282E-06,2.39842E-08,6.44521E-07,0.00000E+00,1.10282E-06,2.39842E-08,6.44521E-07
742 nm,2.59825E-07,5.75177E-07,3.57241E-07,6.81461E-07,2.59825E-07,5.75177E-07,3.57241E-07,6.81461E-07
743 nm,1.79520E-07,6.25710E-07,0.00000E+00,8.35620E-07,1.79520E-07,6.25710E-07,0.00000E+00,8.35620E-07
744 nm,3.33939E-07,3.56905E-07,1.51826E-07,7.40911E-07,3.33939E-07,3.56905E-07,1.51826E-07,7.40911E-07
745 nm,2.50785E-07,5.45991E-07,0.00000E+00,1.10161E-06,2.50785E-07,5.45991E-07,0.00000E+00,1.10161E-06
746 nm,1.93835E-07,4.78321E-07,1.51425E-07,3.50091E-07,1.93835E-07,4.78321E-07,1.51425E-07,3.50091E-07
747 nm,4.00005E-07,4.46571E-07,0.00000E+00,4.37954E-07,4.00005E-07,4.46571E-07,0.00000E+00,4.37954E-07
748 nm,9.60291E-08,4.33247E-07,2.23796E-07,9.67596E-08,9.60291E-08,4.33247E-07,2.23796E-07,9.67596E-08
749 nm,2.95897E-07,5.65308E-07,5.92288E-07,6.62787E-07,2.95897E-07,5.65308E-07,5.92288E-07,6.62787E-07
750 nm,5.33276E-09,1.54193E-07,1.00541E-07,4.46754E-07,5.33276E-09,1.54193E-07,1.00541E-07,4.46754E-07
751 nm,1.43131E-07,7.85490E-07,5.65349E-09,2.86814E-07,1.43131E-07,7.85490E-07,5.65349E-09,2.86814E-07
752 nm,1.67923E-07,1.63408E-07,0.00000E+00,8.81585E-07,1.67923E-07,1.63408E-07,0.00000E+00,8.81585E-07
753 nm,1.41126E-07,1.62899E-07,1.38307E-08,5.53126E-07,1.41126E-07,1.62899E-07,1.38307E-08,5.53126E-07
754 nm,0.00000E+00,4.47344E-07,0.00000E+00,1.08240E-06,0.00000E+00,4.47344E-07,0.00000E+00,1.08240E-06
755 nm,2.66996E-07,0.00000E+00,3.25287E-07,4.53756E-07,2.66996E-07,0.00000E+00,3.25287E-07,4.53756E-07
756 nm,1.61401E-07,3.34420E-07,4.68022E-08,4.98837E-08,1.61401E-07,3.34420E-07,4.68022E-08,4.98837E-08
757 nm,1.56735E-07,6.89317E-08,1.73217E-07,1.89069E-07,1.56735E-07,6.89317E-08,1.73217E-07,1.89069E-07
758 nm,0.00000E+00,1.86956E-07,0.00000E+00,1.69005E-07,0.00000E+00,1.86956E-07,0.00000E+00,1.69005E-07
759 nm,0.00000E+00,4.60785E-07,6.69716E-08,7.15456E-09,0.00000E+00,4.60785E-07,6.69716E-08,7.15456E-09
760 nm,5.99965E-08,2.81745E-07,4.11220E-07,5.10136E-07,5.99965E-08,2.81745E-07,4.11220E-07,5.10136E-07
761 nm,1.49587E-07,3.85995E-07,0.00000E+00,9.57529E-08,1.49587E-07,3.85995E-07,0.00000E+00,9.57529E-08
762 nm,9.61124E-08,3.26063E-07,8.48041E-08,0.00000E+00,9.61124E-08,3.26063E-07,8.48041E-08,0.00000E+00
763 nm,0.00000E+00,7.49722E-07,4.73013E-07,4.97091E-07,0.00000E+00,7.49722E-07,4.73013E-07,4.97091E-07
764 nm,5.30710E-08,8.04228E-08,7.91207E-08,4.27392E-07,5.30710E-08,8.04228E-08,7.91207E-08,4.27392E-07
765 nm,1.51309E-07,9.34610E-08,1.33953E-07,4.05090E-07,1.51309E-07,9.34610E-08,1.33953E-07,4.05090E-07
766 nm,1.38770E-08,3.84448E-07,3.80050E-07,3.04922E-07,1.38770E-08,3.84448E-07,3.80050E-07,3.04922E-07
767 nm,1.42026E-10,2.03472E-08,6.24251E-08,8.52065E-07,1.42026E-10,2.03472E-08,6.24251E-08,8.52065E-07
768 nm,2.44498E-07,1.43562E-07,2.67111E-09,5.23988E-07,2.44498E-07,1.43562E-07,2.67111E-09,5.23988E-07
769 nm,2.56996E-08,2.59483E-07,0.00000E+00,6.15239E-07,2.56996E-08,2.59483E-07,0.00000E+00,6.15239E-07
770 nm,5.86384E-08,1.42025E-07,3.05154E-08,1.31521E-07,5.86384E-08,1.42025E-07,3.05154E-08,1.31521E-07
771 nm,0.00000E+00,6.54875E-08,0.00000E+00,1.08150E-07,0.00000E+00,6.54875E-08,0.00000E+00,1.08150E-07
772 nm,2.76269E-07,5.59499E-07,8.09101E-07,2.83220E-07,2.76269E-07,5.59499E-07,8.09101E-07,2.83220E-07
773 nm,3.30439E-07,3.59519E-07,0.00000E+00,2.89101E-07,3.30439E-07,3.59519E-07,0.00000E+00,2.89101E-07
774 nm,8.26232E-08,0.00000E+00,1.31747E-08,1.79528E-07,8.26232E-08,0.00000E+00,1.31747E-08,1.79528E-07
775 nm,2.14764E-08,2.70521E-07,8.76100E-08,8.89711E-08,2.14764E-08,2.70521E-07,8.76100E-08,8.89711E-08
776 nm,1.69942E-08,1.77535E-07,1.71858E-07,6.86769E-08,1.69942E-08,1.77535E-07,1.71858E-07,6.86769E-08
777 nm,3.28032E-08,0.00000E+00,0.00000E+00,1.74337E-07,3.28032E-08,0.00000E+00,0.00000E+00,1.74337E-07
778 nm,4.64929E-08,5.81323E-07,2.05501E-07,0.00000E+00,4.64929E-08,5.81323E-07,2.05501E-07,0.00000E+00
779 nm,1.29411E-09,2.26540E-07,0.00000E+00,4.65216E-07,1.29411E-09,2.26540E-07,0.00000E+00,4.65216E-07
780 nm,4.00997E-07,1.22264E-07,0.00000E+00,4.77925E-07,4.00997E-07,1.22264E-07,0.00000E+00,4.77925E-07
