,,,,,,,,
,,,,,,,,
,,,,,,,,
Name,UVdome_video_eyepoint,UVdome_struct_eyepoint_BG,UVdome_struct_eyepoint_UV,UVdome_struct_eyepoint,UVdome_video_eyepoint,UVdome_struct_eyepoint_BG,UVdome_struct_eyepoint_UV,UVdome_struct_eyepoint
Date,10/30/2014,11/03/2014,11/03/2014,11/03/2014,10/30/2014,11/03/2014,11/03/2014,11/03/2014
Time,10:58am,08:49am,08:55am,09:02am,10:58am,08:49am,08:55am,09:02am
380 nm,5.25246E-06,0.00000E+00,4.62971E-05,4.56938E-05,5.25246E-06,0.00000E+00,4.62971E-05,4.56938E-05
381 nm,4.58082E-06,5.28942E-08,3.88358E-05,3.78579E-05,4.58082E-06,5.28942E-08,3.88358E-05,3.78579E-05
382 nm,3.32899E-06,4.87636E-08,3.07350E-05,3.12405E-05,3.32899E-06,4.87636E-08,3.07350E-05,3.12405E-05
383 nm,2.74231E-06,2.38372E-07,2.55596E-05,2.45787E-05,2.74231E-06,2.38372E-07,2.55596E-05,2.45787E-05
384 nm,2.55394E-06,5.10014E-07,2.01581E-05,2.03298E-05,2.55394E-06,5.10014E-07,2.01581E-05,2.03298E-05
385 nm,1.25415E-06,8.14810E-07,1.50883E-05,1.57591E-05,1.25415E-06,8.14810E-07,1.50883E-05,1.57591E-05
386 nm,1.62905E-06,1.39785E-07,1.25572E-05,1.25008E-05,1.62905E-06,1.39785E-07,1.25572E-05,1.25008E-05
387 nm,9.50652E-07,4.91814E-07,9.81792E-06,1.01399E-05,9.50652E-07,4.91814E-07,9.81792E-06,1.01399E-05
388 nm,1.02458E-06,6.50904E-07,7.80615E-06,7.60231E-06,1.02458E-06,6.50904E-07,7.80615E-06,7.60231E-06
389 nm,5.51356E-07,1.60853E-07,6.75321E-06,6.43998E-06,5.51356E-07,1.60853E-07,6.75321E-06,6.43998E-06
390 nm,4.81632E-07,7.45881E-07,4.57688E-06,4.40972E-06,4.81632E-07,7.45881E-07,4.57688E-06,4.40972E-06
391 nm,5.66059E-07,4.54819E-07,3.27573E-06,4.21533E-06,5.66059E-07,4.54819E-07,3.27573E-06,4.21533E-06
392 nm,3.63695E-07,2.97101E-07,3.10390E-06,2.61201E-06,3.63695E-07,2.97101E-07,3.10390E-06,2.61201E-06
393 nm,5.50181E-07,5.24696E-07,1.80035E-06,2.36282E-06,5.50181E-07,5.24696E-07,1.80035E-06,2.36282E-06
394 nm,5.34383E-07,2.31044E-07,2.30924E-06,1.44398E-06,5.34383E-07,2.31044E-07,2.30924E-06,1.44398E-06
395 nm,7.44361E-08,3.94296E-07,1.41442E-06,1.00781E-06,7.44361E-08,3.94296E-07,1.41442E-06,1.00781E-06
396 nm,2.15966E-07,5.34428E-07,6.81035E-07,7.11576E-07,2.15966E-07,5.34428E-07,6.81035E-07,7.11576E-07
397 nm,1.03562E-07,0.00000E+00,6.45676E-07,1.06904E-06,1.03562E-07,0.00000E+00,6.45676E-07,1.06904E-06
398 nm,3.42265E-07,3.83369E-07,5.26982E-07,5.66531E-07,3.42265E-07,3.83369E-07,5.26982E-07,5.66531E-07
399 nm,2.00431E-07,3.63660E-07,1.96555E-07,6.16666E-07,2.00431E-07,3.63660E-07,1.96555E-07,6.16666E-07
400 nm,0.00000E+00,5.53880E-07,5.09868E-07,1.16508E-06,0.00000E+00,5.53880E-07,5.09868E-07,1.16508E-06
401 nm,3.86344E-07,4.25543E-08,6.17976E-08,9.85621E-07,3.86344E-07,4.25543E-08,6.17976E-08,9.85621E-07
402 nm,5.92865E-08,5.08519E-07,0.00000E+00,1.04085E-06,5.92865E-08,5.08519E-07,0.00000E+00,1.04085E-06
403 nm,8.26494E-08,4.16587E-07,2.52499E-07,5.83366E-07,8.26494E-08,4.16587E-07,2.52499E-07,5.83366E-07
404 nm,2.22905E-07,6.04035E-07,3.17085E-07,5.93243E-07,2.22905E-07,6.04035E-07,3.17085E-07,5.93243E-07
405 nm,2.71851E-07,9.41851E-07,6.62742E-07,1.31966E-06,2.71851E-07,9.41851E-07,6.62742E-07,1.31966E-06
406 nm,2.54803E-07,1.30168E-06,1.95123E-07,6.80058E-07,2.54803E-07,1.30168E-06,1.95123E-07,6.80058E-07
407 nm,2.32080E-07,6.07354E-07,2.54181E-07,1.39805E-06,2.32080E-07,6.07354E-07,2.54181E-07,1.39805E-06
408 nm,8.82178E-08,1.50254E-06,2.57425E-07,1.07999E-06,8.82178E-08,1.50254E-06,2.57425E-07,1.07999E-06
409 nm,4.17352E-07,1.62222E-06,6.39752E-07,1.54378E-06,4.17352E-07,1.62222E-06,6.39752E-07,1.54378E-06
410 nm,4.08848E-07,1.81154E-06,7.17878E-07,2.24105E-06,4.08848E-07,1.81154E-06,7.17878E-07,2.24105E-06
411 nm,4.94261E-07,1.90314E-06,6.15501E-07,1.97338E-06,4.94261E-07,1.90314E-06,6.15501E-07,1.97338E-06
412 nm,5.71381E-07,2.18470E-06,0.00000E+00,2.75213E-06,5.71381E-07,2.18470E-06,0.00000E+00,2.75213E-06
413 nm,6.38181E-07,2.12077E-06,5.27234E-08,3.46310E-06,6.38181E-07,2.12077E-06,5.27234E-08,3.46310E-06
414 nm,5.62645E-07,2.93317E-06,2.67032E-07,3.23661E-06,5.62645E-07,2.93317E-06,2.67032E-07,3.23661E-06
415 nm,9.32324E-07,3.92279E-06,7.02953E-07,3.95378E-06,9.32324E-07,3.92279E-06,7.02953E-07,3.95378E-06
416 nm,1.05824E-06,4.17844E-06,2.30154E-07,5.03120E-06,1.05824E-06,4.17844E-06,2.30154E-07,5.03120E-06
417 nm,9.54699E-07,5.37942E-06,1.84741E-07,5.11406E-06,9.54699E-07,5.37942E-06,1.84741E-07,5.11406E-06
418 nm,1.59493E-06,5.99558E-06,1.61423E-07,6.09646E-06,1.59493E-06,5.99558E-06,1.61423E-07,6.09646E-06
419 nm,1.75989E-06,6.66690E-06,1.38699E-07,7.19197E-06,1.75989E-06,6.66690E-06,1.38699E-07,7.19197E-06
420 nm,2.11467E-06,8.19250E-06,4.14831E-07,8.62795E-06,2.11467E-06,8.19250E-06,4.14831E-07,8.62795E-06
421 nm,2.47978E-06,9.57461E-06,7.51322E-07,1.03537E-05,2.47978E-06,9.57461E-06,7.51322E-07,1.03537E-05
422 nm,3.01897E-06,1.11727E-05,2.56381E-07,1.20134E-05,3.01897E-06,1.11727E-05,2.56381E-07,1.20134E-05
423 nm,3.23692E-06,1.28939E-05,3.24088E-07,1.30268E-05,3.23692E-06,1.28939E-05,3.24088E-07,1.30268E-05
424 nm,3.79087E-06,1.48503E-05,4.64895E-07,1.52438E-05,3.79087E-06,1.48503E-05,4.64895E-07,1.52438E-05
425 nm,4.41228E-06,1.69519E-05,5.26411E-07,1.65644E-05,4.41228E-06,1.69519E-05,5.26411E-07,1.65644E-05
426 nm,4.82691E-06,1.93563E-05,3.09367E-07,1.98415E-05,4.82691E-06,1.93563E-05,3.09367E-07,1.98415E-05
427 nm,5.32019E-06,2.14421E-05,2.33649E-07,2.21683E-05,5.32019E-06,2.14421E-05,2.33649E-07,2.21683E-05
428 nm,6.36866E-06,2.37704E-05,3.74402E-08,2.35254E-05,6.36866E-06,2.37704E-05,3.74402E-08,2.35254E-05
429 nm,7.12592E-06,2.65071E-05,4.15565E-07,2.72223E-05,7.12592E-06,2.65071E-05,4.15565E-07,2.72223E-05
430 nm,8.12266E-06,2.89888E-05,1.96357E-07,2.93939E-05,8.12266E-06,2.89888E-05,1.96357E-07,2.93939E-05
431 nm,9.04882E-06,3.21095E-05,1.84070E-07,3.28233E-05,9.04882E-06,3.21095E-05,1.84070E-07,3.28233E-05
432 nm,9.90068E-06,3.55927E-05,1.48061E-07,3.61684E-05,9.90068E-06,3.55927E-05,1.48061E-07,3.61684E-05
433 nm,1.11915E-05,3.90891E-05,5.28625E-07,4.01128E-05,1.11915E-05,3.90891E-05,5.28625E-07,4.01128E-05
434 nm,1.24940E-05,4.21825E-05,6.80585E-07,4.33594E-05,1.24940E-05,4.21825E-05,6.80585E-07,4.33594E-05
435 nm,1.37292E-05,4.64746E-05,4.62512E-07,4.75173E-05,1.37292E-05,4.64746E-05,4.62512E-07,4.75173E-05
436 nm,1.44356E-05,4.98913E-05,7.10023E-07,5.14101E-05,1.44356E-05,4.98913E-05,7.10023E-07,5.14101E-05
437 nm,1.65668E-05,5.49043E-05,4.69853E-07,5.53061E-05,1.65668E-05,5.49043E-05,4.69853E-07,5.53061E-05
438 nm,1.76743E-05,5.76850E-05,8.29685E-07,5.97285E-05,1.76743E-05,5.76850E-05,8.29685E-07,5.97285E-05
439 nm,1.90018E-05,6.25584E-05,2.53923E-07,6.38936E-05,1.90018E-05,6.25584E-05,2.53923E-07,6.38936E-05
