,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Name,video_G_max,video_UV_max,structuredlight_G_100,structuredlight_G_40,structuredlight_UV_100,structuredlight_UV_33,video_G_max,video_UV_max,structuredlight_G_100,structuredlight_G_40,structuredlight_UV_100,structuredlight_UV_33
Date,04/20/2015,04/20/2015,04/20/2015,04/20/2015,04/20/2015,04/20/2015,04/20/2015,04/20/2015,04/20/2015,04/20/2015,04/20/2015,04/20/2015
Time,12:40pm,12:41pm,12:43pm,12:44pm,12:48pm,12:48pm,12:40pm,12:41pm,12:43pm,12:44pm,12:48pm,12:48pm
T_int [ms],5060,5932,3613,7193,4712,14365,5060,5932,3613,7193,4712,14365
381 nm,1.20823E-06,3.52421E-05,6.25356E-09,4.59423E-07,4.49630E-05,1.19950E-05,1.20823E-06,3.52421E-05,6.25356E-09,4.59423E-07,4.49630E-05,1.19950E-05
382 nm,4.79287E-07,2.87175E-05,0.00000E+00,2.13526E-07,3.64834E-05,9.52012E-06,4.79287E-07,2.87175E-05,0.00000E+00,2.13526E-07,3.64834E-05,9.52012E-06
383 nm,4.52064E-07,2.08569E-05,3.18540E-07,3.46331E-07,2.86864E-05,7.68484E-06,4.52064E-07,2.08569E-05,3.18540E-07,3.46331E-07,2.86864E-05,7.68484E-06
384 nm,9.92771E-08,1.86371E-05,6.07580E-08,8.67917E-07,2.37016E-05,5.69240E-06,9.92771E-08,1.86371E-05,6.07580E-08,8.67917E-07,2.37016E-05,5.69240E-06
385 nm,1.09501E-08,1.42569E-05,5.36169E-07,0.00000E+00,1.83714E-05,5.49125E-06,1.09501E-08,1.42569E-05,5.36169E-07,0.00000E+00,1.83714E-05,5.49125E-06
386 nm,1.97746E-07,1.02201E-05,1.41089E-06,4.07345E-07,1.44777E-05,3.23945E-06,1.97746E-07,1.02201E-05,1.41089E-06,4.07345E-07,1.44777E-05,3.23945E-06
387 nm,1.87933E-07,9.22065E-06,3.59947E-07,4.29774E-07,1.03467E-05,3.00473E-06,1.87933E-07,9.22065E-06,3.59947E-07,4.29774E-07,1.03467E-05,3.00473E-06
388 nm,7.61555E-07,6.31365E-06,6.08840E-07,1.36362E-07,8.33267E-06,2.32552E-06,7.61555E-07,6.31365E-06,6.08840E-07,1.36362E-07,8.33267E-06,2.32552E-06
389 nm,4.18002E-07,4.30059E-06,0.00000E+00,2.25046E-07,6.30804E-06,1.77811E-06,4.18002E-07,4.30059E-06,0.00000E+00,2.25046E-07,6.30804E-06,1.77811E-06
390 nm,9.97371E-07,2.91482E-06,4.68988E-08,8.44006E-07,4.13146E-06,8.45026E-07,9.97371E-07,2.91482E-06,4.68988E-08,8.44006E-07,4.13146E-06,8.45026E-07
391 nm,3.42416E-07,2.92115E-06,3.75889E-07,2.54165E-07,4.19035E-06,1.03486E-06,3.42416E-07,2.92115E-06,3.75889E-07,2.54165E-07,4.19035E-06,1.03486E-06
392 nm,8.53679E-09,2.35924E-06,0.00000E+00,7.21752E-07,2.84176E-06,4.46410E-07,8.53679E-09,2.35924E-06,0.00000E+00,7.21752E-07,2.84176E-06,4.46410E-07
393 nm,2.93765E-07,2.04364E-06,4.89722E-07,0.00000E+00,2.05534E-06,5.13786E-07,2.93765E-07,2.04364E-06,4.89722E-07,0.00000E+00,2.05534E-06,5.13786E-07
394 nm,3.06122E-07,1.58623E-06,1.14992E-07,8.48210E-07,1.77065E-06,5.63817E-07,3.06122E-07,1.58623E-06,1.14992E-07,8.48210E-07,1.77065E-06,5.63817E-07
395 nm,5.87065E-07,9.78263E-07,9.84344E-07,5.30286E-07,7.62535E-07,6.14647E-07,5.87065E-07,9.78263E-07,9.84344E-07,5.30286E-07,7.62535E-07,6.14647E-07
