,,,,
,,,,
,,,,
Name,BG_staticGird_StructuredLight_100_afterMirror,BG_staticGird_StructuredLight_100_offDome,BG_staticGird_StructuredLight_100_beforeMirror,BG_staticGird_StructuredLight_100_afterMirror
476 nm,8.41945E-06,8.49347E-06,1.34294E-03,8.41945E-06
477 nm,8.37586E-06,7.74128E-06,1.27762E-03,8.37586E-06
478 nm,8.25994E-06,7.51020E-06,1.26223E-03,8.25994E-06
479 nm,7.95864E-06,7.65268E-06,1.21622E-03,7.95864E-06
480 nm,7.22289E-06,7.07412E-06,1.18344E-03,7.22289E-06
481 nm,7.26693E-06,6.61791E-06,1.16481E-03,7.26693E-06
482 nm,7.54114E-06,7.04929E-06,1.13108E-03,7.54114E-06
483 nm,7.22578E-06,6.57465E-06,1.10852E-03,7.22578E-06
484 nm,7.11504E-06,6.65398E-06,1.06612E-03,7.11504E-06
485 nm,6.74238E-06,6.56360E-06,1.05673E-03,6.74238E-06
486 nm,7.32033E-06,6.47589E-06,1.08752E-03,7.32033E-06
487 nm,7.01654E-06,6.48852E-06,1.11560E-03,7.01654E-06
488 nm,7.30211E-06,6.54524E-06,1.07768E-03,7.30211E-06
489 nm,7.30522E-06,6.92101E-06,1.14401E-03,7.30522E-06
490 nm,7.75421E-06,7.47671E-06,1.14285E-03,7.75421E-06
491 nm,7.72188E-06,7.49607E-06,1.17415E-03,7.72188E-06
492 nm,8.25467E-06,7.78477E-06,1.19085E-03,8.25467E-06
493 nm,8.49081E-06,7.94275E-06,1.26621E-03,8.49081E-06
494 nm,8.81263E-06,8.34008E-06,1.37362E-03,8.81263E-06
495 nm,9.30257E-06,8.77962E-06,1.44532E-03,9.30257E-06
496 nm,1.01577E-05,9.54014E-06,1.46584E-03,1.01577E-05
497 nm,1.04383E-05,9.74783E-06,1.54471E-03,1.04383E-05
498 nm,1.05056E-05,1.05043E-05,1.64597E-03,1.05056E-05
499 nm,1.13932E-05,1.10456E-05,1.72544E-03,1.13932E-05
500 nm,1.17792E-05,1.15363E-05,1.78837E-03,1.17792E-05
501 nm,1.25034E-05,1.23797E-05,1.93073E-03,1.25034E-05
502 nm,1.31158E-05,1.27116E-05,1.98107E-03,1.31158E-05
503 nm,1.39829E-05,1.37568E-05,2.09715E-03,1.39829E-05
504 nm,1.51235E-05,1.39347E-05,2.18947E-03,1.51235E-05
505 nm,1.55327E-05,1.48973E-05,2.33193E-03,1.55327E-05
506 nm,1.60224E-05,1.56749E-05,2.40538E-03,1.60224E-05
507 nm,1.68790E-05,1.63123E-05,2.53006E-03,1.68790E-05
508 nm,1.74582E-05,1.71220E-05,2.58830E-03,1.74582E-05
509 nm,1.78602E-05,1.79424E-05,2.74630E-03,1.78602E-05
510 nm,1.92869E-05,1.84740E-05,2.85146E-03,1.92869E-05
511 nm,1.92845E-05,1.90223E-05,2.88158E-03,1.92845E-05
512 nm,2.06377E-05,2.01003E-05,3.00699E-03,2.06377E-05
513 nm,2.04982E-05,2.04758E-05,3.05198E-03,2.04982E-05
514 nm,2.18859E-05,2.10096E-05,3.17209E-03,2.18859E-05
515 nm,2.22898E-05,2.19085E-05,3.25384E-03,2.22898E-05
516 nm,2.29095E-05,2.23067E-05,3.33022E-03,2.29095E-05
517 nm,2.31753E-05,2.27007E-05,3.39977E-03,2.31753E-05
518 nm,2.36628E-05,2.29000E-05,3.46440E-03,2.36628E-05
519 nm,2.41816E-05,2.38338E-05,3.48015E-03,2.41816E-05
520 nm,2.50679E-05,2.43127E-05,3.56045E-03,2.50679E-05
521 nm,2.54646E-05,2.47732E-05,3.63694E-03,2.54646E-05
522 nm,2.57554E-05,2.51842E-05,3.71299E-03,2.57554E-05
523 nm,2.59846E-05,2.52532E-05,3.74915E-03,2.59846E-05
524 nm,2.63483E-05,2.53570E-05,3.74670E-03,2.63483E-05
525 nm,2.66188E-05,2.61289E-05,3.81622E-03,2.66188E-05
526 nm,2.72121E-05,2.67220E-05,3.87491E-03,2.72121E-05
527 nm,2.71965E-05,2.66808E-05,3.87066E-03,2.71965E-05
528 nm,2.77333E-05,2.65719E-05,3.91868E-03,2.77333E-05
529 nm,2.82823E-05,2.70911E-05,4.00800E-03,2.82823E-05
530 nm,2.80234E-05,2.73705E-05,3.91507E-03,2.80234E-05
531 nm,2.84232E-05,2.71693E-05,3.97185E-03,2.84232E-05
532 nm,2.86640E-05,2.75029E-05,4.03147E-03,2.86640E-05
533 nm,2.88069E-05,2.74829E-05,4.03348E-03,2.88069E-05
534 nm,2.81514E-05,2.77125E-05,4.01287E-03,2.81514E-05
535 nm,2.87602E-05,2.80280E-05,4.04275E-03,2.87602E-05
536 nm,2.89404E-05,2.80213E-05,4.05204E-03,2.89404E-05
537 nm,2.91821E-05,2.81278E-05,4.04634E-03,2.91821E-05
538 nm,2.89786E-05,2.85097E-05,4.06763E-03,2.89786E-05
539 nm,2.91236E-05,2.81174E-05,4.15056E-03,2.91236E-05
540 nm,2.89411E-05,2.85001E-05,4.04132E-03,2.89411E-05
541 nm,2.91528E-05,2.81202E-05,4.06670E-03,2.91528E-05
542 nm,2.90705E-05,2.81940E-05,4.12141E-03,2.90705E-05
543 nm,2.90173E-05,2.86113E-05,4.08960E-03,2.90173E-05
544 nm,2.89462E-05,2.82388E-05,4.07481E-03,2.89462E-05
545 nm,2.88757E-05,2.87364E-05,4.09313E-03,2.88757E-05
546 nm,2.90038E-05,2.86423E-05,4.09260E-03,2.90038E-05
547 nm,2.90781E-05,2.83764E-05,4.11106E-03,2.90781E-05
548 nm,2.91502E-05,2.83545E-05,4.13980E-03,2.91502E-05
549 nm,2.89363E-05,2.82775E-05,4.11376E-03,2.89363E-05
550 nm,2.89501E-05,2.85686E-05,4.04787E-03,2.89501E-05
551 nm,2.90103E-05,2.83462E-05,4.10871E-03,2.90103E-05
