Name,dark,BG_100,BG_90,BG_80,BG_70,BG_60,BG_50,BG_40,BG_30,BG_10,BG_20,BG_0
378 nm,1.16E-10,7.07E-05,6.00E-05,5.39E-05,4.67E-05,4.09E-05,3.40E-05,2.87E-05,2.21E-05,9.57E-06,1.54E-05,3.19E-06
379 nm,1.15E-10,5.98E-05,5.07E-05,4.37E-05,4.02E-05,3.51E-05,3.00E-05,2.52E-05,1.87E-05,7.71E-06,1.34E-05,2.89E-06
380 nm,1.10E-10,4.88E-05,4.15E-05,3.87E-05,3.39E-05,2.83E-05,2.37E-05,1.93E-05,1.58E-05,6.06E-06,1.08E-05,2.07E-06
381 nm,1.09E-10,4.14E-05,3.51E-05,3.12E-05,2.73E-05,2.41E-05,2.00E-05,1.61E-05,1.27E-05,5.41E-06,9.38E-06,1.44E-06
382 nm,1.06E-10,3.29E-05,2.80E-05,2.55E-05,2.25E-05,2.00E-05,1.63E-05,1.27E-05,1.06E-05,4.69E-06,7.32E-06,1.33E-06
383 nm,1.02E-10,2.61E-05,2.31E-05,1.99E-05,1.75E-05,1.56E-05,1.35E-05,1.05E-05,7.77E-06,3.50E-06,5.64E-06,8.32E-07
384 nm,1.02E-10,2.13E-05,1.91E-05,1.61E-05,1.41E-05,1.27E-05,1.05E-05,8.84E-06,7.02E-06,2.84E-06,4.53E-06,8.27E-07
385 nm,9.83E-11,1.62E-05,1.43E-05,1.32E-05,1.15E-05,9.61E-06,7.78E-06,7.15E-06,5.56E-06,2.25E-06,3.95E-06,1.17E-06
386 nm,9.61E-11,1.43E-05,1.15E-05,9.82E-06,9.66E-06,8.97E-06,6.73E-06,4.26E-06,3.75E-06,1.68E-06,2.54E-06,1.82E-07
387 nm,9.44E-11,1.07E-05,8.97E-06,8.17E-06,6.18E-06,6.46E-06,4.82E-06,4.58E-06,3.50E-06,1.23E-06,2.03E-06,4.74E-07
