Name,dark,BG_100,BG_90,BG_80,BG_70,BG_60,BG_50,BG_40,BG_30,BG_10,BG_20,BG_0
626 nm,4.96E-07,1.99E-05,1.75E-05,1.56E-05,1.40E-05,1.24E-05,1.08E-05,8.62E-06,6.87E-06,3.28E-06,5.45E-06,1.51E-06
627 nm,6.61E-07,1.88E-05,1.76E-05,1.48E-05,1.40E-05,1.16E-05,1.00E-05,7.77E-06,6.68E-06,3.33E-06,5.03E-06,1.54E-06
628 nm,5.50E-07,1.89E-05,1.66E-05,1.53E-05,1.35E-05,1.17E-05,1.00E-05,8.30E-06,6.71E-06,3.39E-06,4.94E-06,1.63E-06
629 nm,6.28E-07,1.88E-05,1.64E-05,1.49E-05,1.33E-05,1.14E-05,9.77E-06,8.18E-06,6.41E-06,3.35E-06,5.13E-06,1.65E-06
630 nm,8.23E-07,1.82E-05,1.66E-05,1.49E-05,1.30E-05,1.16E-05,9.52E-06,8.29E-06,6.45E-06,3.31E-06,5.04E-06,1.75E-06
631 nm,4.61E-07,1.77E-05,1.59E-05,1.44E-05,1.26E-05,1.11E-05,9.68E-06,8.08E-06,6.55E-06,3.20E-06,4.86E-06,1.68E-06
632 nm,5.97E-07,1.70E-05,1.53E-05,1.36E-05,1.24E-05,1.09E-05,8.78E-06,7.67E-06,6.34E-06,3.03E-06,4.54E-06,1.29E-06
633 nm,3.14E-07,1.68E-05,1.49E-05,1.32E-05,1.17E-05,1.04E-05,8.93E-06,7.20E-06,5.96E-06,2.71E-06,4.19E-06,1.27E-06
634 nm,1.15E-07,1.60E-05,1.46E-05,1.27E-05,1.14E-05,1.00E-05,8.46E-06,6.93E-06,5.57E-06,2.49E-06,4.16E-06,9.28E-07
635 nm,1.28E-07,1.57E-05,1.39E-05,1.30E-05,1.08E-05,9.68E-06,8.33E-06,6.50E-06,5.48E-06,2.46E-06,3.81E-06,9.97E-07
636 nm,0.00E+00,1.50E-05,1.40E-05,1.19E-05,1.07E-05,9.23E-06,7.79E-06,6.74E-06,5.02E-06,2.24E-06,3.70E-06,7.92E-07
637 nm,3.87E-08,1.48E-05,1.30E-05,1.17E-05,1.03E-05,8.89E-06,7.65E-06,6.12E-06,4.92E-06,2.40E-06,3.66E-06,9.15E-07
638 nm,1.26E-07,1.45E-05,1.29E-05,1.17E-05,9.98E-06,8.83E-06,7.42E-06,6.08E-06,4.86E-06,2.21E-06,3.66E-06,6.52E-07
639 nm,2.69E-08,1.38E-05,1.25E-05,1.12E-05,1.01E-05,8.72E-06,7.38E-06,5.96E-06,4.64E-06,2.15E-06,3.35E-06,9.57E-07
640 nm,1.49E-09,1.42E-05,1.23E-05,1.15E-05,9.71E-06,8.37E-06,6.91E-06,5.81E-06,4.61E-06,2.24E-06,3.45E-06,7.41E-07
641 nm,1.06E-08,1.32E-05,1.18E-05,1.05E-05,9.24E-06,8.16E-06,7.09E-06,5.62E-06,4.54E-06,2.23E-06,3.31E-06,7.84E-07
642 nm,2.43E-09,1.30E-05,1.16E-05,1.02E-05,9.21E-06,8.16E-06,6.91E-06,5.34E-06,4.34E-06,1.96E-06,3.29E-06,6.15E-07
643 nm,0.00E+00,1.26E-05,1.12E-05,9.95E-06,8.96E-06,7.77E-06,6.69E-06,5.51E-06,4.39E-06,2.04E-06,3.26E-06,9.13E-07
644 nm,1.15E-07,1.27E-05,1.09E-05,9.75E-06,8.86E-06,8.01E-06,5.95E-06,5.36E-06,4.17E-06,1.79E-06,3.03E-06,6.33E-07
645 nm,0.00E+00,1.20E-05,1.09E-05,9.62E-06,8.32E-06,7.26E-06,6.13E-06,5.22E-06,4.14E-06,2.01E-06,3.00E-06,8.49E-07
646 nm,0.00E+00,1.20E-05,1.06E-05,9.51E-06,8.59E-06,7.05E-06,6.30E-06,4.85E-06,4.13E-06,1.69E-06,2.88E-06,8.05E-07
647 nm,8.80E-08,1.14E-05,1.06E-05,9.04E-06,8.07E-06,7.33E-06,5.99E-06,4.56E-06,3.98E-06,1.71E-06,2.78E-06,7.41E-07
648 nm,2.99E-09,1.11E-05,1.00E-05,8.87E-06,7.89E-06,6.48E-06,5.51E-06,4.93E-06,4.00E-06,1.82E-06,2.82E-06,8.65E-07
649 nm,1.57E-07,1.07E-05,9.92E-06,9.02E-06,7.78E-06,6.95E-06,6.03E-06,4.84E-06,3.63E-06,1.91E-06,2.70E-06,8.24E-07
650 nm,1.34E-07,1.09E-05,1.00E-05,8.65E-06,7.55E-06,6.57E-06,5.85E-06,4.78E-06,3.87E-06,1.86E-06,2.78E-06,8.21E-07
651 nm,8.30E-08,1.06E-05,9.13E-06,8.18E-06,7.18E-06,6.24E-06,5.86E-06,4.49E-06,3.70E-06,1.72E-06,2.49E-06,8.65E-07
652 nm,1.37E-07,1.02E-05,9.07E-06,8.02E-06,7.37E-06,6.22E-06,5.52E-06,4.14E-06,3.54E-06,1.57E-06,2.55E-06,6.73E-07
653 nm,0.00E+00,9.84E-06,9.02E-06,8.00E-06,7.36E-06,6.37E-06,5.33E-06,4.20E-06,3.48E-06,1.70E-06,2.28E-06,6.67E-07
654 nm,3.04E-08,9.54E-06,8.33E-06,7.85E-06,6.94E-06,5.83E-06,5.03E-06,4.08E-06,3.14E-06,1.45E-06,2.45E-06,5.54E-07
655 nm,6.04E-08,9.16E-06,8.75E-06,7.77E-06,6.39E-06,6.00E-06,4.67E-06,3.92E-06,3.16E-06,1.52E-06,2.32E-06,6.60E-07
656 nm,1.72E-08,9.31E-06,8.45E-06,7.20E-06,6.30E-06,5.46E-06,4.86E-06,3.66E-06,3.12E-06,1.47E-06,2.27E-06,5.78E-07
657 nm,1.98E-10,8.54E-06,8.12E-06,6.96E-06,6.53E-06,5.63E-06,4.77E-06,3.49E-06,2.65E-06,1.08E-06,2.28E-06,4.72E-07
658 nm,4.25E-08,8.89E-06,7.57E-06,7.01E-06,6.15E-06,5.05E-06,4.21E-06,3.53E-06,2.70E-06,1.25E-06,1.97E-06,4.68E-07
659 nm,0.00E+00,8.04E-06,7.65E-06,6.72E-06,5.77E-06,5.47E-06,4.63E-06,3.66E-06,2.86E-06,1.15E-06,2.16E-06,6.09E-07
660 nm,1.37E-09,7.89E-06,7.31E-06,6.85E-06,6.18E-06,4.72E-06,4.36E-06,3.62E-06,2.94E-06,1.45E-06,2.08E-06,6.87E-07
661 nm,0.00E+00,7.67E-06,7.09E-06,6.66E-06,5.89E-06,5.54E-06,4.09E-06,3.58E-06,2.91E-06,1.26E-06,1.94E-06,6.79E-07
662 nm,3.44E-11,7.81E-06,6.71E-06,6.38E-06,5.37E-06,4.67E-06,4.21E-06,3.43E-06,2.81E-06,1.53E-06,2.14E-06,4.80E-07
663 nm,4.26E-11,7.80E-06,6.83E-06,5.79E-06,5.56E-06,4.53E-06,3.84E-06,3.40E-06,2.78E-06,1.02E-06,1.85E-06,7.21E-07
664 nm,1.08E-10,7.18E-06,6.46E-06,6.00E-06,4.99E-06,4.34E-06,3.96E-06,3.15E-06,2.66E-06,1.27E-06,1.94E-06,4.17E-07
665 nm,0.00E+00,6.96E-06,6.62E-06,5.89E-06,5.16E-06,4.12E-06,3.85E-06,3.16E-06,2.68E-06,1.24E-06,1.85E-06,5.32E-07
666 nm,1.63E-10,6.99E-06,6.74E-06,5.28E-06,4.64E-06,4.61E-06,3.52E-06,2.92E-06,2.59E-06,1.07E-06,1.90E-06,5.36E-07
667 nm,5.71E-09,6.86E-06,5.76E-06,5.34E-06,4.80E-06,4.32E-06,3.55E-06,2.75E-06,2.48E-06,1.00E-06,1.77E-06,5.19E-07
668 nm,2.68E-08,6.32E-06,6.00E-06,5.21E-06,4.88E-06,4.23E-06,3.29E-06,2.93E-06,2.46E-06,1.18E-06,1.76E-06,4.66E-07
669 nm,6.57E-09,6.34E-06,6.13E-06,5.26E-06,4.58E-06,4.00E-06,3.46E-06,2.53E-06,2.46E-06,1.23E-06,1.84E-06,3.56E-07
670 nm,0.00E+00,6.28E-06,5.62E-06,4.57E-06,4.45E-06,4.06E-06,3.07E-06,2.95E-06,2.13E-06,8.88E-07,1.60E-06,4.31E-07
671 nm,8.17E-08,5.77E-06,5.73E-06,4.59E-06,4.51E-06,3.61E-06,3.27E-06,2.83E-06,2.24E-06,1.13E-06,1.82E-06,5.42E-07
672 nm,6.13E-08,6.03E-06,5.41E-06,4.81E-06,4.14E-06,3.84E-06,2.96E-06,2.32E-06,2.02E-06,8.20E-07,1.58E-06,4.72E-07
673 nm,9.14E-08,5.49E-06,5.13E-06,4.61E-06,3.94E-06,3.60E-06,3.16E-06,2.45E-06,2.06E-06,7.83E-07,1.30E-06,4.88E-07
674 nm,0.00E+00,5.73E-06,4.82E-06,4.23E-06,3.68E-06,3.31E-06,2.97E-06,2.34E-06,1.90E-06,9.69E-07,1.20E-06,4.41E-07
675 nm,0.00E+00,5.24E-06,4.87E-06,4.31E-06,4.48E-06,3.29E-06,2.78E-06,2.54E-06,1.90E-06,9.20E-07,1.47E-06,2.75E-07
676 nm,5.12E-10,5.21E-06,4.72E-06,4.13E-06,3.71E-06,3.42E-06,2.88E-06,2.35E-06,1.98E-06,7.54E-07,1.27E-06,4.33E-07
677 nm,0.00E+00,5.45E-06,4.52E-06,4.20E-06,3.79E-06,3.03E-06,2.61E-06,2.12E-06,1.52E-06,8.66E-07,1.34E-06,3.20E-07
678 nm,6.62E-11,4.56E-06,4.78E-06,4.15E-06,3.53E-06,3.03E-06,2.85E-06,2.35E-06,1.94E-06,8.57E-07,1.57E-06,2.80E-07
679 nm,4.58E-11,4.71E-06,3.87E-06,3.74E-06,3.91E-06,2.83E-06,2.43E-06,1.92E-06,1.66E-06,9.85E-07,1.38E-06,4.37E-07
680 nm,3.40E-11,4.30E-06,4.35E-06,3.80E-06,3.56E-06,2.70E-06,2.49E-06,2.21E-06,1.68E-06,5.75E-07,1.44E-06,5.37E-07
681 nm,1.48E-10,4.56E-06,4.37E-06,3.91E-06,3.40E-06,2.89E-06,2.45E-06,1.99E-06,1.55E-06,7.74E-07,1.14E-06,3.55E-07
682 nm,0.00E+00,4.11E-06,4.06E-06,3.35E-06,3.06E-06,2.91E-06,2.34E-06,1.82E-06,1.62E-06,7.91E-07,1.23E-06,2.62E-07
683 nm,9.25E-10,4.35E-06,3.59E-06,3.24E-06,3.28E-06,2.79E-06,2.32E-06,1.92E-06,1.50E-06,6.18E-07,1.23E-06,4.58E-07
684 nm,5.46E-09,4.06E-06,3.65E-06,3.28E-06,2.77E-06,2.61E-06,2.03E-06,1.39E-06,1.33E-06,6.63E-07,9.76E-07,2.83E-07
685 nm,3.81E-08,4.08E-06,3.60E-06,3.34E-06,3.15E-06,2.29E-06,2.09E-06,1.73E-06,1.39E-06,9.25E-07,1.21E-06,3.93E-07
686 nm,8.76E-08,3.93E-06,3.45E-06,3.24E-06,3.19E-06,2.46E-06,2.06E-06,1.92E-06,1.49E-06,8.41E-07,1.37E-06,2.79E-07
687 nm,1.94E-08,4.44E-06,3.38E-06,3.05E-06,2.54E-06,2.28E-06,2.32E-06,1.89E-06,1.52E-06,5.37E-07,1.04E-06,4.12E-07
688 nm,1.11E-09,3.97E-06,3.11E-06,2.90E-06,2.74E-06,2.60E-06,2.14E-06,1.65E-06,1.59E-06,8.64E-07,1.20E-06,4.33E-07
689 nm,0.00E+00,3.82E-06,3.36E-06,3.26E-06,2.57E-06,2.62E-06,1.95E-06,1.67E-06,1.26E-06,7.33E-07,1.16E-06,2.25E-07
690 nm,2.91E-10,3.55E-06,3.30E-06,2.95E-06,2.76E-06,2.04E-06,2.14E-06,1.90E-06,9.01E-07,6.24E-07,9.97E-07,3.09E-07
691 nm,4.74E-11,3.67E-06,2.90E-06,2.73E-06,2.86E-06,2.00E-06,1.72E-06,1.18E-06,1.14E-06,5.42E-07,1.09E-06,2.35E-07
692 nm,3.32E-11,3.47E-06,2.89E-06,2.56E-06,2.29E-06,2.22E-06,1.56E-06,1.14E-06,1.13E-06,4.42E-07,7.01E-07,1.11E-07
693 nm,0.00E+00,3.00E-06,3.12E-06,2.53E-06,2.32E-06,2.23E-06,2.06E-06,1.78E-06,1.49E-06,5.27E-07,8.12E-07,2.17E-07
694 nm,8.28E-09,3.10E-06,2.77E-06,2.27E-06,2.19E-06,1.86E-06,1.73E-06,1.83E-06,1.42E-06,4.09E-07,9.13E-07,2.44E-07
695 nm,5.62E-09,2.65E-06,2.93E-06,2.40E-06,1.81E-06,2.30E-06,1.69E-06,1.42E-06,1.24E-06,4.66E-07,7.92E-07,2.84E-07
696 nm,0.00E+00,2.86E-06,2.07E-06,2.78E-06,2.07E-06,1.41E-06,2.29E-06,1.30E-06,1.61E-06,2.43E-07,1.64E-06,2.94E-07
697 nm,0.00E+00,2.76E-06,2.67E-06,2.37E-06,1.67E-06,1.64E-06,1.27E-06,1.59E-06,7.59E-07,1.75E-07,5.58E-07,8.06E-08
698 nm,9.77E-11,2.91E-06,2.39E-06,2.03E-06,2.21E-06,1.35E-06,1.51E-06,1.42E-06,1.17E-06,2.65E-07,6.22E-07,2.50E-07
699 nm,5.13E-12,2.72E-06,2.59E-06,2.33E-06,1.74E-06,1.83E-06,1.68E-06,1.21E-06,1.10E-06,3.76E-07,5.32E-07,1.68E-07
700 nm,1.39E-10,2.34E-06,2.12E-06,2.24E-06,1.85E-06,1.68E-06,1.63E-06,1.25E-06,8.66E-07,3.87E-07,7.33E-07,1.30E-07
701 nm,3.33E-10,2.80E-06,2.14E-06,1.95E-06,2.12E-06,1.60E-06,1.33E-06,1.15E-06,1.06E-06,4.38E-07,4.83E-07,6.57E-08
702 nm,0.00E+00,2.91E-06,2.35E-06,1.88E-06,1.76E-06,1.56E-06,1.32E-06,1.30E-06,7.66E-07,5.56E-07,8.67E-07,7.13E-08
703 nm,3.41E-08,2.35E-06,2.28E-06,1.88E-06,2.01E-06,1.45E-06,1.15E-06,1.42E-06,1.05E-06,5.25E-07,7.76E-07,1.92E-07
704 nm,7.00E-09,2.44E-06,2.39E-06,2.12E-06,1.97E-06,1.55E-06,1.48E-06,1.08E-06,9.73E-07,3.62E-07,9.36E-07,4.05E-07
705 nm,6.86E-08,2.67E-06,2.41E-06,2.45E-06,1.57E-06,1.73E-06,1.44E-06,1.26E-06,1.02E-06,6.02E-07,6.82E-07,5.47E-07
706 nm,1.23E-07,2.75E-06,2.46E-06,2.33E-06,2.18E-06,1.78E-06,1.70E-06,1.42E-06,1.12E-06,6.87E-07,9.81E-07,6.25E-07
707 nm,2.11E-07,2.83E-06,2.40E-06,2.46E-06,1.87E-06,1.77E-06,1.54E-06,1.49E-06,1.33E-06,6.74E-07,9.20E-07,6.42E-07
708 nm,4.35E-07,2.78E-06,2.59E-06,2.01E-06,2.38E-06,2.06E-06,1.40E-06,1.78E-06,1.10E-06,8.28E-07,1.11E-06,6.82E-07
709 nm,4.44E-07,2.57E-06,1.89E-06,2.06E-06,1.66E-06,1.89E-06,1.94E-06,1.45E-06,1.35E-06,7.22E-07,8.62E-07,6.47E-07
710 nm,1.89E-07,2.63E-06,1.97E-06,2.19E-06,2.08E-06,1.29E-06,1.75E-06,1.31E-06,1.20E-06,9.29E-07,8.89E-07,4.98E-07
711 nm,1.97E-07,2.88E-06,2.27E-06,1.82E-06,1.80E-06,1.62E-06,1.53E-06,1.20E-06,1.31E-06,7.07E-07,9.23E-07,4.81E-07
712 nm,3.56E-08,2.02E-06,2.13E-06,1.68E-06,1.63E-06,1.59E-06,1.55E-06,1.25E-06,1.31E-06,8.16E-07,9.32E-07,4.53E-07
713 nm,1.37E-07,1.80E-06,2.15E-06,1.63E-06,1.50E-06,1.35E-06,1.58E-06,8.15E-07,9.20E-07,5.74E-07,9.23E-07,4.74E-07
714 nm,0.00E+00,1.94E-06,1.80E-06,9.00E-07,1.68E-06,1.08E-06,1.23E-06,1.15E-06,6.35E-07,3.84E-07,7.67E-07,2.66E-07
715 nm,2.67E-08,1.76E-06,1.36E-06,1.20E-06,1.58E-06,1.26E-06,9.94E-07,9.38E-07,4.44E-07,2.89E-07,6.33E-07,3.23E-07
716 nm,0.00E+00,1.72E-06,1.50E-06,1.41E-06,1.49E-06,8.56E-07,7.19E-07,6.08E-07,6.97E-07,1.92E-07,5.89E-07,2.28E-07
717 nm,3.20E-07,1.72E-06,1.09E-06,1.19E-06,1.35E-06,7.32E-07,4.95E-07,6.90E-07,5.01E-07,1.38E-07,6.48E-07,2.07E-07
718 nm,0.00E+00,1.85E-06,1.42E-06,1.16E-06,1.22E-06,9.34E-07,6.25E-07,9.64E-07,4.14E-07,2.52E-07,4.40E-07,3.37E-07
719 nm,1.22E-08,1.36E-06,1.61E-06,7.13E-07,1.25E-06,8.56E-07,1.30E-06,7.01E-07,5.03E-07,2.64E-07,2.70E-07,6.13E-08
720 nm,0.00E+00,1.35E-06,1.03E-06,1.47E-06,1.43E-06,1.05E-06,9.62E-07,6.93E-07,7.19E-07,7.22E-08,4.18E-07,2.54E-08
721 nm,3.81E-10,1.08E-06,1.17E-06,8.33E-07,5.33E-07,9.11E-07,4.79E-07,8.68E-07,3.41E-07,1.72E-07,2.97E-07,2.35E-07
722 nm,7.23E-11,1.86E-06,7.15E-07,1.35E-06,8.49E-07,1.49E-07,9.14E-07,3.66E-07,6.22E-07,6.78E-08,2.06E-07,2.62E-07
723 nm,3.87E-11,1.31E-06,1.29E-06,1.13E-06,8.87E-07,1.15E-06,5.72E-07,6.34E-07,3.29E-07,1.70E-08,3.61E-07,7.07E-08
724 nm,5.97E-11,1.57E-06,6.36E-07,1.07E-06,8.40E-07,7.28E-07,5.57E-07,8.48E-07,2.15E-07,1.19E-08,4.33E-08,1.65E-08
725 nm,5.51E-11,1.26E-06,7.44E-07,1.05E-06,1.02E-06,1.07E-06,7.97E-07,6.59E-07,5.29E-07,3.14E-07,3.49E-07,6.23E-08
726 nm,5.58E-11,6.93E-07,1.19E-06,1.30E-06,9.15E-07,8.95E-07,5.48E-07,6.96E-07,3.46E-07,3.57E-08,2.56E-07,0.00E+00
727 nm,5.60E-11,7.91E-07,8.82E-07,1.02E-06,6.57E-07,5.11E-07,3.65E-07,4.89E-07,1.29E-07,2.15E-07,4.72E-08,3.11E-09
728 nm,5.61E-11,1.04E-06,9.23E-07,8.76E-07,5.93E-07,6.39E-07,5.95E-07,3.22E-08,6.05E-07,1.23E-07,1.80E-07,0.00E+00
729 nm,5.62E-11,8.43E-07,1.21E-06,7.86E-07,4.93E-07,8.84E-07,8.11E-07,3.06E-07,3.94E-07,2.32E-07,3.33E-07,2.87E-08
730 nm,5.63E-11,1.05E-06,1.32E-06,1.12E-06,1.04E-06,7.16E-07,3.81E-07,7.64E-07,3.90E-07,2.80E-07,4.37E-07,3.26E-09
731 nm,5.65E-11,6.95E-07,1.18E-06,5.24E-07,7.99E-07,5.70E-08,3.31E-07,2.65E-07,1.13E-07,6.71E-08,3.63E-07,6.08E-08
732 nm,5.67E-11,9.64E-07,6.52E-07,7.30E-07,3.59E-07,2.02E-07,2.96E-07,5.26E-07,1.05E-07,3.29E-07,0.00E+00,1.81E-07
733 nm,5.70E-11,8.18E-07,8.02E-07,7.23E-07,5.48E-07,5.14E-07,8.32E-07,1.86E-09,1.82E-07,1.56E-07,3.44E-07,3.14E-08
734 nm,5.69E-11,1.08E-06,9.89E-07,4.97E-07,4.77E-07,6.44E-07,6.81E-07,5.92E-07,6.85E-07,0.00E+00,2.50E-07,1.87E-07
735 nm,5.71E-11,5.65E-07,7.10E-07,1.08E-06,5.92E-07,3.19E-07,4.08E-07,5.50E-08,8.01E-07,2.74E-07,3.99E-07,9.17E-08
736 nm,5.74E-11,4.50E-07,5.48E-07,5.78E-07,8.79E-07,7.86E-07,7.67E-07,5.36E-07,6.11E-07,1.77E-07,4.92E-07,0.00E+00
737 nm,5.77E-11,1.01E-06,8.16E-07,8.88E-07,8.25E-07,9.15E-07,5.81E-07,4.39E-07,3.38E-07,2.33E-07,4.41E-08,1.43E-07
738 nm,5.79E-11,1.06E-06,2.90E-07,4.44E-07,3.02E-07,3.02E-07,5.05E-07,2.91E-07,4.01E-07,2.74E-07,4.32E-07,1.29E-07
739 nm,5.80E-11,1.30E-06,1.56E-06,5.74E-07,6.38E-07,5.91E-07,7.40E-07,3.39E-07,2.04E-07,4.57E-07,2.02E-07,0.00E+00
740 nm,5.82E-11,7.42E-07,5.21E-07,6.88E-07,3.09E-07,8.44E-07,7.51E-07,2.66E-07,2.61E-07,0.00E+00,3.30E-07,7.77E-08
741 nm,5.85E-11,7.65E-07,9.57E-07,5.00E-07,2.46E-07,2.97E-07,4.24E-07,5.27E-07,4.95E-07,3.94E-07,4.18E-07,7.24E-08
742 nm,5.88E-11,4.95E-07,4.15E-08,4.57E-07,6.62E-07,1.36E-07,1.52E-07,1.97E-07,5.78E-08,2.73E-07,2.77E-08,5.20E-08
743 nm,5.91E-11,8.94E-07,8.16E-07,1.15E-07,5.22E-07,3.37E-07,6.72E-07,7.55E-07,5.57E-08,0.00E+00,1.97E-07,1.63E-07
744 nm,5.93E-11,5.58E-07,2.90E-07,6.73E-07,5.30E-07,5.21E-07,4.36E-08,1.88E-07,4.41E-07,1.20E-07,3.60E-07,1.11E-08
745 nm,5.94E-11,7.16E-07,6.84E-07,6.81E-07,2.31E-07,6.24E-07,2.00E-07,3.64E-07,1.14E-07,1.29E-07,1.29E-07,1.71E-07
746 nm,6.00E-11,4.73E-07,2.22E-07,4.29E-07,3.15E-07,3.25E-07,3.70E-07,1.98E-09,5.52E-07,3.55E-07,9.99E-09,2.43E-08
747 nm,6.02E-11,8.36E-07,5.20E-07,7.23E-07,8.19E-07,2.31E-07,6.08E-07,0.00E+00,0.00E+00,0.00E+00,2.55E-07,1.05E-08
748 nm,6.05E-11,8.01E-07,2.04E-07,3.78E-07,2.66E-07,4.07E-07,2.53E-07,7.12E-08,8.80E-08,3.04E-08,2.56E-07,1.71E-07
749 nm,6.07E-11,6.61E-08,5.07E-07,1.29E-07,9.32E-07,2.91E-07,2.56E-07,1.02E-07,1.63E-07,1.27E-07,4.67E-07,1.76E-07
750 nm,6.11E-11,7.78E-07,3.40E-07,3.83E-07,4.90E-07,3.15E-07,1.07E-07,0.00E+00,5.00E-08,2.58E-07,1.50E-07,1.03E-07
751 nm,6.15E-11,5.91E-07,6.02E-07,2.33E-07,5.16E-07,5.35E-07,3.94E-09,1.18E-09,2.74E-07,0.00E+00,2.11E-08,0.00E+00
752 nm,6.19E-11,4.26E-07,3.05E-07,3.71E-07,3.47E-07,3.83E-07,3.11E-07,2.98E-07,2.73E-07,6.49E-08,4.20E-08,5.27E-08
753 nm,6.22E-11,9.54E-07,3.76E-08,3.62E-07,4.27E-07,7.80E-07,4.66E-07,5.59E-07,3.17E-07,6.98E-08,1.51E-07,4.74E-08
754 nm,6.25E-11,6.70E-07,3.40E-07,6.05E-08,3.23E-07,7.77E-07,4.36E-07,5.21E-08,1.29E-07,2.40E-08,1.51E-07,3.20E-08
755 nm,6.27E-11,8.65E-07,6.37E-09,6.53E-07,4.96E-09,1.43E-08,5.21E-07,2.32E-07,4.79E-07,1.10E-07,0.00E+00,0.00E+00
756 nm,6.31E-11,4.72E-07,6.64E-07,4.01E-08,7.33E-07,4.80E-07,1.80E-07,6.40E-08,2.03E-07,1.80E-07,1.24E-07,2.12E-08
757 nm,6.34E-11,0.00E+00,4.53E-07,3.73E-07,2.06E-07,5.74E-07,7.74E-07,2.27E-07,1.79E-07,0.00E+00,5.36E-08,0.00E+00
758 nm,6.38E-11,8.88E-07,0.00E+00,4.29E-07,4.16E-07,3.65E-07,4.82E-07,3.48E-07,6.18E-08,5.22E-09,1.33E-07,9.47E-08
759 nm,6.40E-11,9.11E-07,6.38E-07,4.82E-07,5.02E-07,0.00E+00,2.71E-07,5.24E-07,5.75E-09,1.03E-09,8.48E-08,0.00E+00
760 nm,6.44E-11,3.18E-07,5.58E-07,4.67E-07,5.93E-07,2.72E-07,4.86E-07,1.86E-07,2.74E-07,1.97E-08,3.71E-07,8.67E-10
761 nm,6.47E-11,9.01E-07,3.36E-07,5.84E-08,2.62E-07,2.87E-07,2.60E-07,1.68E-07,0.00E+00,1.41E-07,3.70E-07,2.33E-08
762 nm,6.51E-11,9.09E-08,1.71E-07,6.29E-07,5.48E-07,2.70E-07,1.55E-07,4.84E-07,5.22E-08,2.38E-07,2.22E-07,1.67E-08
763 nm,6.54E-11,4.08E-07,6.23E-07,0.00E+00,7.04E-07,0.00E+00,4.91E-07,0.00E+00,3.46E-07,6.34E-08,1.73E-07,1.14E-09
764 nm,6.57E-11,5.74E-07,4.27E-07,3.92E-07,2.10E-07,2.12E-07,1.52E-08,6.77E-09,4.96E-07,1.49E-07,3.79E-07,2.30E-07
765 nm,6.59E-11,5.52E-07,5.50E-07,6.30E-09,1.16E-07,0.00E+00,1.16E-07,1.25E-07,4.30E-07,9.69E-08,4.94E-07,6.27E-08
766 nm,6.61E-11,7.92E-07,2.69E-07,8.90E-08,1.38E-07,6.36E-07,8.57E-07,2.81E-07,2.54E-07,2.26E-07,2.02E-07,0.00E+00
767 nm,6.66E-11,3.91E-07,8.57E-08,6.96E-07,8.09E-07,3.03E-07,2.39E-07,3.92E-07,1.31E-07,1.26E-10,2.19E-07,8.36E-11
768 nm,6.71E-11,1.91E-07,5.97E-08,1.60E-08,7.41E-07,7.60E-07,0.00E+00,5.91E-07,4.38E-08,7.59E-09,3.58E-07,6.45E-09
769 nm,6.53E-11,1.55E-07,4.97E-07,1.19E-07,3.73E-07,5.56E-09,3.68E-07,1.19E-07,1.58E-07,0.00E+00,0.00E+00,1.05E-08
770 nm,7.50E-11,0.00E+00,8.54E-08,0.00E+00,0.00E+00,3.91E-07,3.11E-07,9.17E-08,0.00E+00,9.75E-10,7.32E-08,1.73E-08
771 nm,6.73E-11,1.18E-06,1.73E-07,6.56E-10,4.86E-07,1.99E-07,5.11E-07,8.90E-08,6.23E-07,7.58E-11,2.90E-07,1.66E-10
772 nm,0.00E+00,1.22E-07,2.86E-07,1.29E-07,2.56E-07,2.95E-07,0.00E+00,1.44E-08,3.22E-08,2.44E-08,4.61E-08,1.26E-08
773 nm,1.58E-09,8.41E-08,0.00E+00,3.50E-07,1.04E-07,0.00E+00,5.74E-08,0.00E+00,4.53E-07,2.49E-08,1.97E-07,2.58E-08
774 nm,0.00E+00,0.00E+00,1.03E-07,1.95E-07,6.62E-08,1.79E-07,4.39E-07,4.14E-07,3.04E-08,1.95E-07,5.96E-07,0.00E+00
775 nm,4.50E-08,2.98E-10,7.02E-07,1.56E-07,4.91E-10,6.67E-08,3.41E-07,7.77E-10,2.29E-10,3.49E-10,2.05E-07,0.00E+00
776 nm,0.00E+00,2.63E-07,7.42E-07,4.27E-08,0.00E+00,3.69E-07,1.51E-07,9.82E-09,4.77E-08,3.33E-08,6.20E-07,4.07E-08
777 nm,1.61E-09,2.78E-08,2.35E-08,2.09E-07,3.68E-07,2.32E-07,4.18E-07,5.17E-08,1.14E-07,3.58E-08,7.00E-08,1.70E-07
778 nm,0.00E+00,4.11E-07,0.00E+00,2.89E-07,1.46E-07,1.67E-07,1.40E-08,4.05E-08,0.00E+00,1.15E-07,3.60E-09,1.87E-07
779 nm,7.01E-11,9.21E-08,7.23E-07,1.21E-09,1.26E-09,3.94E-07,5.13E-07,2.32E-07,1.87E-07,0.00E+00,1.23E-09,0.00E+00
780 nm,7.91E-11,8.13E-07,4.77E-07,3.55E-07,1.37E-07,0.00E+00,0.00E+00,0.00E+00,1.37E-07,1.81E-08,2.84E-07,6.89E-08
