,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Name,green_10,green_20,green_30,green_40,green_50,green_60,green_70,green_80,green_90,green_100
Date,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015
Time,11:31am,11:32am,11:32am,11:32am,11:32am,11:33am,11:33am,11:33am,11:33am,11:33am
T_int [ms],6817,3891,2676,2116,1689,1481,1280,1000,1000,920
397 nm,5.91870E-07,3.78192E-07,2.68534E-07,1.41211E-07,2.05932E-06,1.97379E-06,3.03714E-08,1.45739E-06,1.29588E-06,2.01727E-06
398 nm,6.51795E-07,0.00000E+00,1.55416E-06,1.51210E-06,8.71107E-08,0.00000E+00,7.07896E-07,5.54316E-07,3.36909E-06,3.21581E-06
399 nm,2.45004E-07,1.48433E-08,1.11028E-06,8.05111E-07,0.00000E+00,3.82677E-07,6.81139E-07,1.61153E-06,1.09465E-07,2.01217E-06
400 nm,4.85757E-07,3.21004E-08,1.30743E-06,0.00000E+00,1.18920E-06,6.97151E-07,1.83357E-06,3.81266E-07,1.43776E-06,1.40958E-06
401 nm,0.00000E+00,6.31233E-07,2.48996E-07,2.87928E-10,2.36434E-07,1.37986E-08,1.17499E-06,1.23813E-08,8.53590E-07,1.28389E-06
402 nm,3.33924E-07,5.29946E-08,4.41468E-07,1.90784E-08,0.00000E+00,1.10088E-06,8.65380E-07,0.00000E+00,1.38009E-06,1.56011E-06
403 nm,6.00668E-08,2.61274E-07,0.00000E+00,4.66661E-07,1.96123E-07,3.95065E-07,1.54126E-06,0.00000E+00,2.28838E-06,2.55283E-07
404 nm,1.13323E-07,2.32966E-07,0.00000E+00,4.94435E-07,9.90057E-07,3.30744E-07,2.31570E-07,7.39564E-07,1.01266E-06,1.79241E-06
405 nm,6.84693E-08,2.37180E-07,4.17427E-07,3.78672E-07,1.12479E-06,0.00000E+00,2.05334E-06,1.33012E-06,1.04577E-06,1.39894E-06
406 nm,3.49515E-09,5.54039E-07,1.17384E-08,6.54923E-07,2.93992E-06,0.00000E+00,4.38628E-08,1.73092E-07,8.20418E-07,1.65851E-06
407 nm,9.15396E-09,1.10814E-07,0.00000E+00,4.65476E-07,7.16330E-07,9.88678E-07,6.06479E-07,6.20697E-07,1.86255E-06,3.45341E-07
408 nm,0.00000E+00,7.57430E-07,3.31621E-07,5.21545E-07,0.00000E+00,9.28382E-08,8.62012E-07,2.03081E-07,4.10028E-07,3.88831E-07
409 nm,3.47844E-07,1.36666E-07,6.46919E-07,3.26084E-07,9.42733E-07,4.03595E-07,1.76468E-07,1.83042E-07,4.23939E-07,1.12522E-06
410 nm,1.35827E-07,1.15078E-07,2.51877E-08,0.00000E+00,7.91528E-07,0.00000E+00,5.19833E-07,6.20051E-07,2.82505E-06,3.41483E-07
411 nm,6.93365E-08,0.00000E+00,0.00000E+00,3.31645E-07,2.99543E-07,7.07289E-07,9.28494E-07,5.18111E-08,2.54613E-07,1.67695E-06
412 nm,8.90513E-08,5.26638E-07,4.68744E-07,0.00000E+00,2.15444E-07,1.11278E-07,9.97162E-07,8.47182E-08,3.02393E-07,2.25909E-07
413 nm,7.44172E-07,4.94326E-07,2.24178E-08,2.16652E-08,3.54817E-07,1.22205E-06,0.00000E+00,5.16182E-07,1.91308E-06,2.38703E-07
414 nm,0.00000E+00,0.00000E+00,6.69272E-07,0.00000E+00,8.06902E-07,0.00000E+00,2.29842E-07,2.58353E-08,5.89430E-08,1.41552E-06
415 nm,2.05059E-07,1.66639E-07,1.79158E-07,3.41802E-07,4.79625E-08,3.16564E-07,0.00000E+00,8.48763E-08,0.00000E+00,2.86997E-07
416 nm,2.85045E-08,2.77554E-07,8.25153E-08,4.63961E-08,1.93162E-08,1.15692E-08,7.65993E-07,1.03643E-07,3.62408E-07,7.30240E-07
417 nm,8.55028E-08,5.78384E-07,0.00000E+00,2.22227E-09,3.38208E-08,3.15853E-07,5.07202E-07,2.50005E-07,0.00000E+00,7.59728E-07
418 nm,5.52571E-07,2.30464E-07,1.92388E-07,6.95245E-08,5.55287E-07,4.75463E-07,0.00000E+00,0.00000E+00,7.91167E-07,1.37586E-06
419 nm,0.00000E+00,5.90801E-07,7.62968E-07,7.51700E-08,6.16200E-07,0.00000E+00,6.60499E-07,1.36890E-07,8.47596E-07,1.27762E-06
420 nm,1.48252E-08,2.23063E-07,2.73142E-07,4.27228E-07,2.55014E-07,9.28615E-08,4.98190E-07,6.59106E-07,0.00000E+00,1.39580E-07
421 nm,1.69889E-09,7.44636E-08,4.27346E-08,5.91059E-07,0.00000E+00,0.00000E+00,1.08139E-06,9.90310E-07,6.08231E-08,1.51567E-07
422 nm,4.38653E-09,0.00000E+00,3.59026E-08,3.25414E-07,0.00000E+00,1.06174E-06,0.00000E+00,0.00000E+00,6.28976E-08,7.14994E-07
423 nm,1.81584E-07,0.00000E+00,9.57321E-07,3.12637E-07,3.46111E-07,0.00000E+00,8.59341E-07,0.00000E+00,1.41909E-06,0.00000E+00
