,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Name,uv_0,uv_10,uv_20,uv_30,uv_40,uv_50,uv_60,uv_70,uv_80,uv_90,uv_100
Date,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015
Time,11:43am,11:43am,11:43am,11:43am,11:44am,11:44am,11:44am,11:44am,11:44am,11:44am,11:45am
T_int [ms],1570,1550,1573,1000,904,727,637,543,472,430,395
414 nm,1.30439E-07,3.59911E-06,5.01295E-06,1.00480E-05,1.16654E-05,1.60958E-05,1.75123E-05,2.17947E-05,2.64400E-05,2.89059E-05,3.20209E-05
415 nm,1.61564E-08,3.17119E-06,5.16061E-06,6.64493E-06,1.03944E-05,1.10389E-05,1.38561E-05,1.61902E-05,1.88112E-05,1.98812E-05,1.90187E-05
416 nm,0.00000E+00,1.10629E-06,2.80932E-06,3.98649E-06,6.62622E-06,7.42001E-06,1.30018E-05,1.23218E-05,1.49217E-05,1.52579E-05,1.70976E-05
417 nm,7.65087E-07,1.72567E-06,2.13399E-06,5.24270E-06,6.44218E-06,6.76324E-06,7.64121E-06,7.48497E-06,1.07149E-05,1.26392E-05,1.37958E-05
418 nm,0.00000E+00,3.78997E-06,1.36132E-06,4.09147E-06,4.44978E-06,5.20013E-06,6.86633E-06,5.61661E-06,9.45405E-06,7.96480E-06,9.21567E-06
419 nm,4.47702E-07,6.73517E-07,1.41587E-06,2.49946E-06,3.83394E-06,4.61521E-06,3.79133E-06,3.33629E-06,5.83913E-06,6.60196E-06,9.31146E-06
420 nm,3.98580E-07,2.11128E-06,1.70314E-06,2.66830E-06,2.77855E-06,1.58909E-06,2.31558E-06,4.57396E-06,5.78448E-06,5.22767E-06,6.94688E-06
421 nm,4.61344E-07,3.27531E-07,1.07534E-06,9.53518E-07,2.06557E-06,2.71767E-06,3.90226E-06,6.06605E-06,3.81528E-06,5.21966E-06,4.07389E-06
422 nm,1.97018E-07,3.55767E-08,1.04853E-06,1.60573E-06,2.87969E-06,4.23306E-06,1.84777E-06,4.70174E-06,4.36262E-06,3.45296E-06,5.90182E-06
423 nm,8.13848E-07,3.72945E-07,7.93655E-07,7.33198E-07,1.94821E-06,1.23546E-06,2.85437E-06,1.31253E-06,4.58931E-06,5.57413E-06,3.18113E-06
424 nm,1.33436E-06,7.59809E-07,2.70247E-06,5.58068E-07,1.76957E-06,1.29618E-06,4.45940E-06,1.83159E-06,3.95563E-06,5.17974E-06,4.18600E-06
425 nm,3.64937E-07,1.04589E-06,2.40844E-06,1.27377E-06,1.42860E-06,1.79679E-06,1.83127E-06,3.04671E-06,3.03723E-06,4.13949E-06,2.61150E-06
426 nm,1.16486E-07,2.08330E-07,5.31270E-07,2.03535E-06,2.21243E-06,1.69687E-06,1.60863E-06,4.11364E-06,2.12078E-06,3.62422E-06,2.66813E-06
427 nm,1.22000E-07,1.67020E-06,2.30581E-07,1.02225E-06,6.94307E-07,1.78012E-06,3.92909E-06,2.28448E-06,1.21942E-06,2.28627E-06,4.56133E-06
428 nm,2.20126E-07,1.66982E-08,4.96821E-07,1.14495E-06,1.00978E-06,2.17163E-06,2.97539E-06,1.68314E-06,2.79785E-06,1.71354E-06,2.10231E-06
429 nm,1.17902E-06,1.42815E-06,4.70318E-07,2.83757E-06,7.00930E-07,4.86490E-07,2.66969E-06,2.32255E-06,2.32748E-06,2.44016E-06,3.65055E-06
430 nm,9.16431E-08,3.08652E-07,1.77636E-07,7.59962E-07,1.66703E-06,9.19840E-07,1.83907E-06,3.36543E-06,1.95009E-06,1.15526E-06,2.50213E-06
431 nm,3.78048E-07,4.68731E-07,1.35930E-06,2.84115E-07,8.01263E-07,9.25996E-08,1.67713E-06,3.13530E-06,9.62054E-07,2.37637E-06,4.23810E-06
