,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Name,green_10,green_20,green_30,green_40,green_50,green_60,green_70,green_80,green_90,green_100,green_0
Date,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015,09/03/2015
Time,11:36am,11:36am,11:36am,11:36am,11:37am,11:37am,11:37am,11:37am,11:37am,11:37am,11:40am
T_int [ms],6762,3906,2672,2064,1697,1483,1281,1000,1000,929,312
401 nm,1.37051E-07,8.77074E-09,5.12003E-08,0.00000E+00,0.00000E+00,5.56091E-07,7.73037E-07,2.04694E-08,4.09245E-07,1.78795E-06,1.02298E-06
402 nm,7.69222E-08,6.54923E-07,3.68357E-07,1.11752E-08,4.16393E-08,1.05229E-06,1.66517E-06,1.35544E-06,1.29158E-06,1.14257E-07,3.55437E-06
403 nm,3.92235E-07,3.89661E-08,2.54420E-07,1.41046E-07,4.69776E-08,2.09171E-06,0.00000E+00,5.73172E-07,6.31312E-07,9.05401E-09,2.01686E-06
404 nm,0.00000E+00,4.63701E-07,3.01934E-07,4.45497E-07,0.00000E+00,8.20602E-07,6.99593E-07,2.07115E-07,2.04313E-06,1.08931E-07,1.68230E-06
405 nm,8.10412E-07,2.35912E-07,0.00000E+00,0.00000E+00,1.60285E-06,0.00000E+00,1.35530E-06,0.00000E+00,3.98946E-07,1.21055E-06,2.18894E-07
406 nm,2.49475E-07,3.46260E-09,1.29004E-09,1.06173E-06,5.97207E-07,0.00000E+00,1.10407E-06,8.70640E-07,7.92391E-07,5.96719E-07,1.04414E-06
407 nm,2.85595E-07,1.02952E-07,3.66291E-09,1.11565E-07,1.10313E-06,3.33984E-07,2.33307E-07,0.00000E+00,1.30663E-07,1.20000E-06,0.00000E+00
408 nm,0.00000E+00,1.63179E-07,0.00000E+00,2.10451E-07,0.00000E+00,0.00000E+00,1.33226E-06,8.53723E-08,1.47400E-06,9.00027E-07,4.37253E-08
409 nm,8.56087E-08,4.03625E-07,1.45950E-07,1.03114E-07,2.69930E-07,2.46884E-07,5.77731E-07,2.31507E-07,7.63776E-07,2.92049E-07,2.17883E-08
410 nm,5.42080E-07,4.81301E-07,6.57690E-08,1.40272E-06,1.08102E-07,9.25103E-08,4.59746E-07,2.31838E-07,6.81321E-07,1.27161E-06,0.00000E+00
411 nm,1.97958E-07,0.00000E+00,0.00000E+00,6.80052E-08,1.23570E-07,3.38991E-08,0.00000E+00,0.00000E+00,2.63021E-08,6.43892E-08,7.67093E-07
412 nm,3.33359E-07,8.40336E-07,0.00000E+00,8.17308E-07,1.96748E-06,7.11635E-08,1.91564E-06,8.91799E-07,4.23187E-07,1.34619E-08,1.14993E-06
413 nm,8.24462E-08,0.00000E+00,6.99130E-08,0.00000E+00,0.00000E+00,8.49451E-07,3.23474E-07,1.07927E-06,1.13154E-06,7.29602E-08,2.67953E-06
