,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Name,green_100,green_90,green_80,green_70,green_60,green_50,green_40,green_30,green_20,green_10,green_0,uv_100,uv_90,uv_80,uv_70,uv_60,UV_50,uv_40,uv_30,uv_20,uv_10,uv_0
Date,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015
Time,08:54am,08:54am,08:55am,08:57am,08:58am,08:59am,09:00am,09:01am,09:02am,09:04am,09:06am,09:08am,09:09am,09:09am,09:10am,09:11am,09:13am,09:14am,09:15am,09:17am,09:19am,09:20am
T_int [ms],4564,7968,8263,9653,10937,12166,14348,17708,21220,24683,28764,10105,11535,12819,14198,16307,19902,24007,26646,28978,29131,31228
458 nm,2.26475E-05,2.03633E-05,1.88593E-05,1.57140E-05,1.38539E-05,1.14080E-05,9.43082E-06,6.99328E-06,4.93468E-06,2.74631E-06,4.74002E-07,3.36390E-07,3.66276E-07,6.26219E-07,2.55191E-07,4.11901E-07,4.96250E-07,3.93812E-07,8.88023E-08,2.99989E-07,3.44689E-08,1.97232E-07
459 nm,2.01745E-05,1.88032E-05,1.64349E-05,1.46786E-05,1.26592E-05,1.05548E-05,8.73869E-06,6.52155E-06,4.55638E-06,2.50549E-06,4.56862E-07,4.72023E-07,2.49589E-07,5.91056E-07,3.10178E-07,3.77611E-07,3.84221E-07,5.28560E-07,4.39973E-07,3.80154E-07,5.11051E-07,4.04318E-07
460 nm,1.90009E-05,1.71740E-05,1.49246E-05,1.36867E-05,1.15405E-05,9.57066E-06,7.57587E-06,5.76019E-06,4.31735E-06,2.19095E-06,3.44920E-07,3.96645E-07,2.56187E-07,1.73186E-07,3.23472E-07,2.11031E-07,3.85213E-07,2.41965E-07,2.09298E-07,3.76853E-07,9.98606E-08,2.57617E-07
461 nm,1.76748E-05,1.60253E-05,1.44193E-05,1.20365E-05,1.07449E-05,9.01589E-06,7.19334E-06,5.75903E-06,3.82504E-06,2.33090E-06,3.58555E-07,6.31309E-07,4.19704E-07,3.07740E-07,3.15261E-07,2.53177E-07,4.23607E-07,3.40676E-07,1.68457E-07,9.44941E-08,2.31717E-07,2.88460E-07
462 nm,1.61284E-05,1.49237E-05,1.28352E-05,1.13845E-05,1.01178E-05,8.40836E-06,6.51915E-06,5.11786E-06,3.27908E-06,1.75080E-06,4.71221E-07,1.84336E-08,4.46071E-07,5.14143E-07,2.95766E-08,2.02190E-07,4.91141E-07,5.77399E-09,1.77218E-07,1.44244E-07,5.06915E-07,1.34217E-07
463 nm,1.57995E-05,1.36219E-05,1.22827E-05,1.06125E-05,8.75907E-06,7.81777E-06,6.22091E-06,4.71964E-06,3.37258E-06,2.09027E-06,3.29518E-07,3.01254E-07,2.34578E-07,1.43507E-07,3.26305E-07,5.46641E-08,5.98119E-08,2.87333E-07,2.19785E-07,3.22984E-07,2.29340E-07,4.32756E-07
464 nm,1.39082E-05,1.25255E-05,1.13888E-05,9.64714E-06,8.00056E-06,7.25582E-06,6.01224E-06,4.46383E-06,3.21141E-06,1.70113E-06,5.45881E-07,2.52261E-07,4.25288E-07,4.62141E-07,2.57981E-07,4.55293E-07,3.64917E-07,3.39940E-07,4.52356E-07,2.45493E-07,1.39026E-07,1.83153E-07
465 nm,1.30858E-05,1.17940E-05,1.04789E-05,8.90298E-06,8.07344E-06,6.70848E-06,5.53926E-06,4.10960E-06,3.03911E-06,1.57599E-06,2.76276E-07,2.99772E-07,3.58191E-07,1.73220E-07,3.27704E-07,3.79677E-07,3.41542E-07,3.93183E-07,2.41214E-07,2.68643E-07,3.57681E-07,2.70408E-07
466 nm,1.18946E-05,1.07208E-05,9.84247E-06,8.80639E-06,7.66629E-06,6.16533E-06,4.91902E-06,3.85266E-06,2.56251E-06,1.37409E-06,3.81320E-07,4.74637E-07,2.95716E-08,1.35320E-07,3.00348E-07,5.34348E-08,3.33416E-07,3.75198E-07,1.66963E-07,4.56722E-07,2.96879E-07,2.60025E-07
467 nm,1.14898E-05,1.04682E-05,9.30125E-06,7.93334E-06,6.67246E-06,5.68062E-06,4.72691E-06,3.67679E-06,2.31898E-06,1.41539E-06,4.25738E-07,8.55950E-08,3.20074E-07,2.05830E-07,3.53496E-07,3.02298E-07,3.70788E-07,5.72046E-07,3.83384E-07,1.79378E-07,3.62570E-07,9.53739E-08
468 nm,1.04987E-05,9.49837E-06,8.44773E-06,7.32032E-06,6.53457E-06,5.26128E-06,4.16045E-06,3.23117E-06,2.61465E-06,1.21856E-06,2.42293E-07,2.85723E-07,2.05178E-08,2.41908E-08,2.14452E-07,1.37339E-07,2.82005E-07,3.12793E-07,1.82351E-07,1.67558E-07,3.67580E-07,3.51921E-07
469 nm,9.38218E-06,8.82316E-06,8.10342E-06,6.95479E-06,5.96036E-06,5.22923E-06,4.25332E-06,2.94468E-06,2.13922E-06,1.33651E-06,1.00518E-07,1.28390E-07,2.84972E-07,3.07987E-07,3.62297E-07,3.61058E-07,2.90996E-07,3.67661E-07,1.93156E-07,1.49865E-07,2.80464E-07,2.43312E-07
470 nm,8.58267E-06,7.61815E-06,7.53187E-06,6.27183E-06,5.19382E-06,4.98122E-06,3.96284E-06,2.93837E-06,2.08381E-06,1.32637E-06,2.88361E-07,7.33621E-09,1.66820E-07,1.34973E-07,5.20749E-07,2.83563E-07,1.66156E-07,3.44687E-07,1.54528E-07,1.56648E-07,2.00431E-07,3.16844E-07
471 nm,8.69971E-06,7.16925E-06,6.69467E-06,6.01551E-06,5.36833E-06,4.32026E-06,3.60589E-06,2.69463E-06,2.08038E-06,1.08325E-06,3.11355E-07,3.06672E-07,1.69655E-07,1.07417E-07,4.96351E-07,3.18755E-08,1.88072E-07,4.65037E-07,1.98669E-07,1.50648E-07,1.66572E-07,2.17872E-07
472 nm,7.75089E-06,7.45803E-06,6.68087E-06,5.55441E-06,4.91889E-06,4.18000E-06,3.29404E-06,2.65195E-06,1.87215E-06,1.04102E-06,3.88190E-07,6.34005E-08,3.10017E-07,3.36298E-07,1.36800E-07,2.40255E-07,1.30652E-07,2.83493E-07,2.91833E-07,1.61356E-07,2.56591E-07,3.10364E-07
473 nm,7.18258E-06,7.17918E-06,6.24149E-06,5.38261E-06,4.69168E-06,4.06076E-06,2.90185E-06,2.42218E-06,1.80523E-06,1.07940E-06,2.67519E-07,3.40885E-07,3.68638E-09,3.15409E-07,3.60332E-08,8.61056E-08,0.00000E+00,1.89253E-07,2.91068E-07,1.17455E-07,3.67152E-07,1.59122E-07
474 nm,7.33267E-06,6.69112E-06,5.77193E-06,5.09592E-06,4.37900E-06,3.92825E-06,2.98069E-06,2.24305E-06,1.46785E-06,9.70962E-07,2.00621E-07,2.44571E-07,6.56997E-08,2.99214E-08,1.34332E-07,1.80731E-07,3.31883E-07,2.52731E-07,4.00937E-08,1.61650E-07,0.00000E+00,3.88727E-07
475 nm,6.54636E-06,6.71670E-06,5.64112E-06,5.03004E-06,4.27925E-06,3.57798E-06,3.13632E-06,2.16966E-06,1.40531E-06,9.40855E-07,2.86755E-07,3.12634E-07,3.06851E-08,2.46523E-07,3.97600E-07,7.14410E-08,2.92152E-07,0.00000E+00,1.62363E-07,1.77517E-07,1.36311E-07,1.38051E-07
476 nm,6.80474E-06,5.76406E-06,5.16732E-06,4.80660E-06,3.82901E-06,3.50808E-06,2.59895E-06,2.26276E-06,1.65244E-06,8.00290E-07,1.01919E-07,2.92386E-07,5.38883E-08,2.73152E-07,3.05910E-07,3.41242E-07,8.96253E-08,2.09596E-07,3.21347E-07,2.92621E-07,2.32910E-08,3.41484E-07
477 nm,5.82792E-06,5.48958E-06,5.35123E-06,4.22481E-06,3.98058E-06,3.18682E-06,2.53159E-06,1.89629E-06,1.29128E-06,7.62719E-07,1.58654E-07,1.92071E-07,2.55018E-07,1.59181E-08,1.90751E-10,1.44944E-09,1.91476E-07,1.74962E-07,2.69766E-07,2.70983E-07,1.88982E-07,1.75738E-07
478 nm,6.22035E-06,5.63215E-06,4.98427E-06,4.08887E-06,3.79648E-06,3.23430E-06,2.58618E-06,2.14675E-06,1.58965E-06,9.10364E-07,2.25744E-07,2.17852E-07,7.20581E-08,5.49245E-08,2.24125E-07,1.37304E-07,8.79552E-08,2.61569E-07,3.93695E-07,2.07821E-07,2.93478E-07,2.58362E-07
479 nm,5.99943E-06,5.38659E-06,4.77504E-06,4.29800E-06,3.68174E-06,3.05985E-06,2.89375E-06,2.05203E-06,1.38270E-06,7.13552E-07,2.62412E-07,4.39559E-07,2.97257E-07,6.53412E-08,4.97052E-08,2.30574E-08,3.98409E-07,1.42910E-07,2.13253E-07,0.00000E+00,2.16812E-07,2.52379E-07
480 nm,6.28146E-06,5.03948E-06,4.79238E-06,4.01964E-06,3.70049E-06,3.02195E-06,2.67906E-06,1.90844E-06,1.19448E-06,8.22320E-07,3.37324E-07,3.80608E-07,2.11801E-07,6.14515E-08,9.77168E-08,1.52631E-07,3.40236E-07,1.94718E-07,1.54298E-07,9.29940E-08,2.01926E-07,2.77599E-07
481 nm,5.96341E-06,5.35382E-06,4.73373E-06,4.18768E-06,3.13961E-06,3.24344E-06,2.33704E-06,1.74644E-06,1.45777E-06,8.33434E-07,1.91109E-07,7.13574E-08,1.65229E-07,1.39310E-07,3.91549E-07,0.00000E+00,3.36921E-07,1.42177E-07,2.37627E-07,3.70606E-08,6.41882E-09,3.45949E-07
482 nm,6.26121E-06,5.52559E-06,4.89099E-06,4.30793E-06,3.24797E-06,2.99981E-06,2.39887E-06,2.09867E-06,1.36516E-06,9.36817E-07,2.57642E-07,2.06551E-07,3.99008E-07,4.59964E-07,3.47553E-07,2.54811E-07,3.98847E-07,3.99301E-07,2.25503E-07,3.19747E-07,4.63951E-07,2.70963E-07
483 nm,6.48148E-06,5.55619E-06,4.55545E-06,4.30284E-06,3.85038E-06,3.15233E-06,2.66713E-06,2.02446E-06,1.61331E-06,8.87961E-07,5.58199E-07,1.34240E-07,3.70208E-07,3.14580E-07,2.95133E-07,4.25389E-07,5.07458E-07,4.90486E-07,5.65824E-07,3.53393E-07,4.64032E-07,4.41331E-07
484 nm,6.00077E-06,5.34037E-06,4.85758E-06,4.17078E-06,3.73437E-06,3.26539E-06,2.94009E-06,2.07795E-06,1.79702E-06,1.10799E-06,5.40975E-07,4.25817E-07,5.08846E-07,6.38282E-07,7.98155E-07,6.78263E-07,5.85108E-07,6.05876E-07,3.90708E-07,4.82075E-07,6.10419E-07,4.67298E-07
485 nm,5.81818E-06,5.76637E-06,5.09778E-06,4.36074E-06,4.01397E-06,3.26633E-06,2.71798E-06,2.31954E-06,1.65017E-06,1.19398E-06,6.47658E-07,8.69502E-07,5.39793E-07,8.35299E-07,1.00045E-06,5.12608E-07,4.20854E-07,6.88197E-07,7.50240E-07,6.79927E-07,6.97573E-07,6.41337E-07
486 nm,6.26316E-06,5.90132E-06,5.07204E-06,4.53672E-06,4.05438E-06,3.45713E-06,3.01565E-06,2.41177E-06,1.79446E-06,1.53465E-06,7.87625E-07,6.82006E-07,7.04464E-07,7.44685E-07,7.59633E-07,8.29094E-07,7.67696E-07,7.08749E-07,9.48930E-07,9.59639E-07,8.15993E-07,6.65327E-07
487 nm,6.18537E-06,6.21500E-06,5.20087E-06,4.85915E-06,4.28672E-06,3.78383E-06,2.73877E-06,2.58608E-06,1.99360E-06,1.43197E-06,7.59879E-07,7.81732E-07,9.75198E-07,9.26812E-07,9.51899E-07,7.69650E-07,1.08350E-06,1.02612E-06,7.58708E-07,8.84824E-07,9.03921E-07,7.17854E-07
488 nm,6.45108E-06,6.02316E-06,5.30770E-06,5.15803E-06,4.31919E-06,3.78309E-06,3.30511E-06,2.73888E-06,2.00237E-06,1.47274E-06,8.41703E-07,9.51454E-07,9.13293E-07,7.09868E-07,9.64498E-07,7.75283E-07,7.38748E-07,7.36534E-07,9.58079E-07,1.05651E-06,9.83396E-07,9.50917E-07
489 nm,6.77432E-06,5.78029E-06,5.27913E-06,5.08980E-06,4.22841E-06,3.92110E-06,3.37182E-06,2.68100E-06,2.04994E-06,1.51248E-06,8.10880E-07,7.21121E-07,7.18832E-07,1.12208E-06,8.94189E-07,9.74189E-07,9.08660E-07,1.09768E-06,9.43271E-07,1.03318E-06,9.83780E-07,8.10919E-07
490 nm,6.92373E-06,6.35028E-06,5.60473E-06,4.90857E-06,4.34087E-06,3.83815E-06,3.18366E-06,2.68256E-06,1.99092E-06,1.76733E-06,8.08958E-07,7.05555E-07,9.56616E-07,9.35832E-07,7.88880E-07,8.40669E-07,8.43490E-07,9.76049E-07,8.56043E-07,8.36423E-07,9.85712E-07,9.97211E-07
491 nm,7.14819E-06,6.67689E-06,6.06410E-06,5.01260E-06,4.46076E-06,4.23702E-06,3.41847E-06,2.75226E-06,2.04374E-06,1.72634E-06,7.55855E-07,7.56701E-07,4.47995E-07,1.07684E-06,1.09283E-06,1.15490E-06,7.94211E-07,8.36359E-07,7.29127E-07,8.22936E-07,6.69045E-07,7.83203E-07
492 nm,7.75557E-06,6.72455E-06,6.04372E-06,5.39581E-06,4.67443E-06,4.16122E-06,3.27342E-06,2.82579E-06,2.19834E-06,1.46359E-06,7.86161E-07,5.56665E-07,7.80331E-07,9.16926E-07,8.29183E-07,6.50343E-07,6.97136E-07,8.18719E-07,7.72951E-07,7.26955E-07,7.90792E-07,6.12594E-07
493 nm,7.24447E-06,6.69968E-06,6.28779E-06,5.44075E-06,4.79497E-06,4.30320E-06,3.43523E-06,2.73911E-06,2.25389E-06,1.30175E-06,8.76958E-07,6.23843E-07,7.08022E-07,8.23783E-07,6.34305E-07,8.85854E-07,6.46852E-07,6.53897E-07,6.42088E-07,5.54087E-07,5.44577E-07,6.93164E-07
494 nm,7.88329E-06,7.18154E-06,6.47931E-06,5.61953E-06,4.95668E-06,4.20074E-06,3.49021E-06,2.59055E-06,2.07075E-06,1.32239E-06,6.01737E-07,5.19051E-07,6.08368E-07,7.18084E-07,5.72669E-07,8.41339E-07,6.65942E-07,5.97594E-07,5.19153E-07,5.24691E-07,5.77636E-07,6.12571E-07
495 nm,8.58212E-06,7.59659E-06,6.81705E-06,6.35723E-06,4.89852E-06,4.54764E-06,3.52164E-06,2.89959E-06,2.14032E-06,1.38310E-06,6.54936E-07,4.85311E-07,5.85754E-07,7.63714E-07,4.59588E-07,6.23666E-07,6.28220E-07,5.37078E-07,5.63470E-07,6.06162E-07,5.12734E-07,5.66244E-07
496 nm,8.45513E-06,7.62804E-06,7.12199E-06,5.69945E-06,5.25215E-06,4.53888E-06,4.13107E-06,2.73806E-06,2.34650E-06,1.51506E-06,5.92086E-07,6.22924E-07,4.99414E-07,3.42447E-07,3.05657E-07,7.23873E-07,3.41416E-07,5.36006E-07,4.80418E-07,3.47534E-07,3.97647E-07,5.02799E-07
497 nm,9.17996E-06,8.16432E-06,7.14255E-06,6.63556E-06,5.44729E-06,5.01363E-06,3.85700E-06,3.27424E-06,2.41390E-06,1.35815E-06,4.82290E-07,4.17538E-07,6.52471E-07,7.84989E-07,4.82929E-07,4.00766E-07,5.53654E-07,4.57480E-07,2.87764E-07,3.79753E-07,3.74185E-07,4.95088E-07
498 nm,1.00389E-05,8.53186E-06,8.01741E-06,6.87036E-06,5.67833E-06,4.48801E-06,3.99528E-06,2.95113E-06,2.25059E-06,1.31616E-06,5.35131E-07,2.62510E-07,3.23939E-07,2.05807E-07,1.42852E-07,4.02166E-07,2.63946E-07,3.95340E-07,5.22301E-07,5.73436E-07,3.94094E-07,3.49168E-07
499 nm,9.95671E-06,8.96743E-06,8.24512E-06,7.14057E-06,6.26036E-06,5.46636E-06,4.05532E-06,3.45808E-06,2.39901E-06,1.47588E-06,5.57361E-07,4.95601E-07,3.81484E-07,5.29933E-07,4.35597E-07,2.96413E-07,1.59822E-07,3.10795E-07,2.75335E-07,3.89879E-07,4.74995E-07,3.13204E-07
500 nm,1.06085E-05,9.19965E-06,8.70218E-06,6.99775E-06,6.36184E-06,5.53352E-06,4.54130E-06,3.38394E-06,2.45070E-06,1.43379E-06,4.06122E-07,5.51928E-07,3.34203E-07,5.88437E-07,2.28614E-07,3.40795E-07,3.75251E-07,3.94774E-07,2.71258E-07,2.58312E-07,2.99405E-07,4.45408E-07
501 nm,1.10731E-05,9.75514E-06,9.06462E-06,7.80694E-06,6.78554E-06,5.78375E-06,4.48374E-06,3.85625E-06,2.51052E-06,1.32130E-06,1.69109E-07,3.32115E-07,7.21713E-10,5.61483E-08,4.89352E-07,1.50983E-07,3.65671E-07,2.82920E-07,2.33238E-07,2.16802E-07,1.82399E-07,1.54247E-07
502 nm,1.17646E-05,1.05432E-05,9.55304E-06,7.92057E-06,7.11773E-06,5.96306E-06,4.90315E-06,3.43133E-06,2.58937E-06,1.25652E-06,4.29658E-07,2.81387E-07,4.69517E-07,2.79553E-07,1.12086E-07,3.30965E-07,2.63255E-07,2.70359E-07,2.49964E-07,2.34834E-07,2.23848E-07,3.26151E-07
503 nm,1.17659E-05,1.08109E-05,1.00128E-05,8.72327E-06,7.53792E-06,6.30410E-06,5.20534E-06,3.89607E-06,2.65710E-06,1.24187E-06,2.35089E-07,0.00000E+00,1.60256E-07,1.70038E-08,1.45639E-07,5.38489E-08,3.45455E-07,2.18088E-07,2.14588E-07,2.70970E-07,2.72454E-07,1.23637E-07
504 nm,1.31951E-05,1.12189E-05,1.09075E-05,9.26628E-06,8.00553E-06,6.38270E-06,5.43756E-06,4.14298E-06,2.74540E-06,1.50147E-06,2.74119E-07,2.08057E-07,1.20944E-07,1.19501E-07,5.59134E-08,1.95142E-07,8.77035E-08,1.20722E-07,2.75193E-07,2.43119E-07,1.25704E-07,1.62610E-07
505 nm,1.42104E-05,1.18443E-05,1.08891E-05,9.42197E-06,8.31878E-06,6.88892E-06,5.68236E-06,4.12511E-06,2.63569E-06,1.52850E-06,3.32795E-07,3.36917E-07,1.85286E-07,6.54233E-08,2.03503E-07,2.00559E-07,4.21555E-08,1.23942E-07,6.38140E-08,5.67398E-08,1.07285E-07,2.09825E-07
506 nm,1.40216E-05,1.27211E-05,1.14155E-05,9.95814E-06,8.51362E-06,7.14961E-06,6.03379E-06,4.41967E-06,3.14088E-06,1.71676E-06,2.40647E-07,1.71013E-07,2.73611E-07,3.86584E-07,1.69059E-07,2.12902E-07,2.87876E-07,2.44326E-07,0.00000E+00,1.01780E-07,7.29255E-08,4.66103E-08
507 nm,1.48266E-05,1.32360E-05,1.19457E-05,1.05207E-05,8.98522E-06,7.47489E-06,6.02053E-06,4.71309E-06,3.10976E-06,1.56597E-06,1.87873E-07,1.04347E-08,7.51169E-08,2.29063E-07,5.37006E-08,0.00000E+00,5.20244E-08,0.00000E+00,9.91266E-08,6.62619E-08,1.16208E-07,1.48697E-07
508 nm,1.52896E-05,1.44340E-05,1.26588E-05,1.11778E-05,9.27929E-06,7.70045E-06,6.29551E-06,4.96161E-06,3.33099E-06,1.69398E-06,1.18999E-07,1.94647E-07,2.11723E-07,5.59965E-08,8.13656E-08,1.82752E-07,3.02384E-07,1.71380E-07,1.26662E-07,3.38983E-08,1.13258E-08,1.83988E-07
509 nm,1.63678E-05,1.45576E-05,1.28717E-05,1.11845E-05,9.40183E-06,7.99242E-06,6.62170E-06,4.96993E-06,3.45449E-06,1.83362E-06,2.77376E-07,2.39691E-07,5.38412E-08,4.66868E-08,2.78074E-08,1.53796E-07,1.21702E-07,8.11710E-08,2.77687E-08,4.14182E-08,9.12900E-08,3.41352E-08
510 nm,1.69790E-05,1.48751E-05,1.37403E-05,1.19404E-05,1.00108E-05,8.82409E-06,6.99126E-06,5.07743E-06,3.67104E-06,1.91219E-06,1.09867E-07,1.02607E-07,3.49501E-07,7.13972E-10,2.94586E-07,2.73390E-07,2.99621E-07,4.12647E-08,5.75734E-08,7.83306E-09,1.10818E-07,1.87252E-07
511 nm,1.71698E-05,1.56692E-05,1.39289E-05,1.21667E-05,1.05115E-05,8.95649E-06,7.25115E-06,5.40522E-06,3.68391E-06,1.90979E-06,3.14072E-07,3.09371E-08,5.34052E-08,3.63186E-09,1.57695E-07,0.00000E+00,7.09124E-08,2.88050E-08,2.85833E-09,0.00000E+00,1.16821E-07,4.31556E-08
512 nm,1.77803E-05,1.61601E-05,1.43938E-05,1.29330E-05,1.11155E-05,9.32393E-06,7.64151E-06,5.60201E-06,4.00073E-06,2.09546E-06,2.08777E-07,1.38504E-07,5.98088E-08,1.63072E-07,0.00000E+00,1.59159E-07,4.36417E-08,2.26326E-07,2.06992E-07,3.18672E-08,1.26864E-08,1.44294E-07
513 nm,1.84975E-05,1.68229E-05,1.46982E-05,1.30571E-05,1.12564E-05,9.56105E-06,7.74421E-06,5.88436E-06,3.71827E-06,2.07846E-06,3.40951E-07,2.79118E-07,1.62547E-07,6.00547E-08,5.88502E-08,0.00000E+00,7.00453E-08,3.02863E-07,1.04007E-08,1.06382E-07,1.32428E-07,2.37140E-08
514 nm,1.92633E-05,1.70639E-05,1.53540E-05,1.34584E-05,1.15732E-05,9.61506E-06,7.98893E-06,5.94739E-06,4.16793E-06,2.23787E-06,3.50913E-07,8.80407E-08,0.00000E+00,1.83544E-07,1.98930E-07,1.66466E-07,2.27571E-07,4.54324E-08,1.53633E-07,1.66849E-07,1.26676E-07,7.94128E-08
515 nm,1.97221E-05,1.75886E-05,1.59980E-05,1.37905E-05,1.18898E-05,9.73709E-06,7.90587E-06,6.11504E-06,4.07769E-06,2.22640E-06,1.20500E-07,1.87443E-07,3.78178E-07,1.37552E-07,7.90270E-08,1.30812E-08,3.79742E-08,1.60193E-07,8.88016E-08,1.18654E-07,1.19596E-07,5.50022E-08
516 nm,2.02918E-05,1.85587E-05,1.63449E-05,1.42640E-05,1.23385E-05,1.05103E-05,8.29696E-06,6.45019E-06,4.38273E-06,2.39472E-06,2.14936E-07,0.00000E+00,0.00000E+00,1.64801E-07,7.63935E-08,1.76391E-07,1.20236E-07,2.52087E-07,1.55625E-07,1.05077E-07,1.34489E-07,2.31561E-08
517 nm,2.07506E-05,1.89065E-05,1.67199E-05,1.44566E-05,1.28147E-05,1.06496E-05,8.74890E-06,6.17825E-06,4.29494E-06,2.22885E-06,3.28461E-07,3.34760E-08,1.20199E-08,2.71458E-08,2.70599E-07,1.20719E-07,2.07018E-07,1.18637E-07,1.05626E-08,1.34625E-07,1.27859E-07,1.39609E-07
518 nm,2.08404E-05,1.92233E-05,1.72245E-05,1.49729E-05,1.27841E-05,1.08217E-05,8.59641E-06,6.87561E-06,4.44535E-06,2.32883E-06,3.78519E-07,0.00000E+00,0.00000E+00,9.17795E-08,1.08639E-07,2.33509E-07,1.53258E-07,1.00539E-08,2.11263E-07,3.42593E-08,1.59282E-07,8.58557E-08
519 nm,2.16311E-05,1.95904E-05,1.75450E-05,1.53655E-05,1.30220E-05,1.09197E-05,8.65382E-06,6.83402E-06,4.53928E-06,2.47657E-06,4.09645E-07,1.93162E-07,0.00000E+00,0.00000E+00,5.87725E-08,1.56471E-07,1.29656E-07,3.46026E-08,2.96852E-08,1.56892E-07,1.18102E-07,1.50401E-07
520 nm,2.24511E-05,1.99957E-05,1.76555E-05,1.57068E-05,1.34558E-05,1.11489E-05,9.21647E-06,6.97783E-06,4.65273E-06,2.44766E-06,2.43637E-07,4.54894E-08,5.85235E-08,0.00000E+00,6.09801E-08,1.16436E-07,2.46994E-07,1.45363E-07,1.53573E-07,1.02886E-07,1.08819E-07,3.86080E-08
521 nm,2.23166E-05,2.03161E-05,1.83760E-05,1.57277E-05,1.38768E-05,1.15331E-05,9.43025E-06,6.99792E-06,4.58727E-06,2.58582E-06,2.10083E-07,6.44799E-08,5.77916E-09,2.80235E-07,5.56728E-08,1.40986E-07,7.83684E-08,2.80319E-08,0.00000E+00,1.53266E-09,3.23561E-07,1.90648E-07
522 nm,2.34515E-05,2.04764E-05,1.84732E-05,1.61478E-05,1.38729E-05,1.15355E-05,9.57686E-06,7.17988E-06,4.70331E-06,2.60204E-06,3.37937E-07,1.91782E-07,1.05861E-07,0.00000E+00,8.10152E-08,7.56937E-08,1.82564E-07,1.60776E-07,6.86211E-08,8.19721E-08,6.82914E-09,1.06891E-07
523 nm,2.29298E-05,2.10973E-05,1.85295E-05,1.63074E-05,1.40431E-05,1.20280E-05,9.38989E-06,7.19081E-06,5.02120E-06,2.65387E-06,2.35398E-07,2.81935E-07,4.29101E-07,5.17325E-08,2.64895E-07,2.23151E-07,9.42091E-08,6.18077E-08,1.67326E-07,1.66259E-07,1.31349E-07,4.34602E-08
524 nm,2.36211E-05,2.12704E-05,1.89220E-05,1.67690E-05,1.42240E-05,1.21957E-05,9.70542E-06,7.20310E-06,4.97754E-06,2.45862E-06,4.49447E-07,1.47475E-07,1.30516E-07,2.24320E-07,2.46551E-08,1.17183E-07,2.05653E-07,6.95768E-08,1.65640E-07,4.44398E-08,1.02852E-07,3.10105E-08
525 nm,2.38498E-05,2.10091E-05,1.88403E-05,1.67330E-05,1.42912E-05,1.23268E-05,9.70182E-06,7.40177E-06,4.96490E-06,2.74361E-06,3.41587E-07,1.59407E-07,5.69638E-09,1.19013E-07,3.96491E-08,3.09235E-09,8.95027E-08,8.33097E-08,1.77925E-07,1.37100E-08,1.05522E-09,1.42684E-07
526 nm,2.43903E-05,2.17550E-05,1.93952E-05,1.70456E-05,1.45458E-05,1.21746E-05,9.90803E-06,7.01743E-06,5.02199E-06,2.60676E-06,1.49612E-07,9.66969E-09,1.19119E-07,5.99145E-08,8.13153E-08,2.57171E-08,5.43444E-08,1.99865E-07,1.25573E-08,8.98575E-09,1.21860E-07,1.71756E-07
527 nm,2.41026E-05,2.17840E-05,1.95700E-05,1.69575E-05,1.47955E-05,1.22179E-05,9.76691E-06,7.36243E-06,5.11542E-06,2.65115E-06,3.55925E-07,1.56401E-07,8.60220E-08,1.83248E-08,1.87509E-07,1.00037E-08,1.49371E-08,0.00000E+00,2.55579E-07,7.50849E-08,9.70441E-08,1.65863E-07
528 nm,2.42697E-05,2.17387E-05,1.98421E-05,1.66853E-05,1.47017E-05,1.21852E-05,9.85956E-06,7.73022E-06,5.21815E-06,2.67388E-06,4.02375E-07,2.13663E-07,1.09353E-07,3.86750E-07,2.74029E-07,1.24832E-07,0.00000E+00,7.33784E-08,1.95940E-07,2.05234E-07,1.05358E-07,1.24710E-07
529 nm,2.44388E-05,2.23820E-05,1.97949E-05,1.71179E-05,1.48930E-05,1.23938E-05,1.01384E-05,7.72172E-06,5.22381E-06,2.61839E-06,3.28778E-07,2.10557E-07,0.00000E+00,1.68129E-07,1.13532E-07,1.13891E-07,9.67946E-08,1.15665E-07,7.30537E-08,1.33576E-07,8.28214E-08,2.49381E-08
530 nm,2.48041E-05,2.21516E-05,2.00869E-05,1.72882E-05,1.50642E-05,1.25579E-05,1.02223E-05,7.55852E-06,5.34793E-06,2.81204E-06,3.86595E-07,1.58566E-10,3.16408E-09,1.71882E-07,1.55555E-07,2.69453E-07,2.40195E-07,0.00000E+00,8.30299E-08,2.02265E-07,1.29853E-07,4.55263E-08
531 nm,2.49557E-05,2.25215E-05,2.02038E-05,1.76453E-05,1.50749E-05,1.27597E-05,1.00155E-05,7.87318E-06,5.47733E-06,2.75500E-06,3.74951E-07,1.73794E-07,2.01944E-07,2.63963E-07,0.00000E+00,0.00000E+00,0.00000E+00,8.03205E-08,5.52798E-08,1.86143E-07,6.73388E-08,1.63694E-07
