,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Name,green_100,green_90,green_80,green_70,green_60,green_50,green_40,green_30,green_20,green_10,green_0,uv_100,uv_90,uv_80,uv_70,uv_60,UV_50,uv_40,uv_30,uv_20,uv_10,uv_0
Date,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015,07/09/2015
Time,08:54am,08:54am,08:55am,08:57am,08:58am,08:59am,09:00am,09:01am,09:02am,09:04am,09:06am,09:08am,09:09am,09:09am,09:10am,09:11am,09:13am,09:14am,09:15am,09:17am,09:19am,09:20am
T_int [ms],4564,7968,8263,9653,10937,12166,14348,17708,21220,24683,28764,10105,11535,12819,14198,16307,19902,24007,26646,28978,29131,31228
G,1.6,1.5,1.3,1.2,1.0,0.9,0.7,0.5,0.4,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
B,1.7,1.5,1.4,1.2,1.0,0.9,0.7,0.5,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Wavelength [nm],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)]
350 nm,1.44617E-06,0.00000E+00,2.17768E-06,7.59125E-07,2.88990E-06,0.00000E+00,1.61895E-06,8.23185E-07,1.93066E-06,0.00000E+00,1.40152E-06,3.93610E-06,4.15696E-06,1.43805E-06,0.00000E+00,1.10972E-06,1.02915E-06,2.52714E-06,3.43333E-06,2.89314E-06,2.68724E-06,0.00000E+00
351 nm,3.26070E-07,3.84060E-06,0.00000E+00,1.44921E-06,3.45025E-06,5.75610E-06,5.14925E-08,6.68508E-07,1.60781E-08,1.90625E-06,8.96998E-08,5.73318E-06,9.89984E-08,1.84346E-06,2.86911E-06,5.54503E-06,6.11138E-07,2.18103E-08,2.29655E-06,2.07209E-06,2.14734E-06,6.97645E-09
352 nm,2.13883E-08,0.00000E+00,1.52513E-06,0.00000E+00,9.86397E-07,2.53748E-06,1.01455E-06,2.52859E-07,0.00000E+00,0.00000E+00,1.68840E-08,2.88972E-06,3.47259E-06,1.43401E-08,3.15018E-07,3.56136E-06,3.41885E-07,9.84254E-07,5.62718E-07,2.20595E-08,0.00000E+00,2.13615E-08
353 nm,0.00000E+00,1.62163E-06,0.00000E+00,0.00000E+00,3.28512E-07,9.70333E-07,4.50701E-07,1.02292E-06,2.38908E-07,1.78886E-07,0.00000E+00,3.86290E-06,1.32258E-07,5.95211E-07,8.70447E-07,6.33261E-07,5.36275E-07,8.78358E-07,5.58248E-07,1.97672E-06,3.14235E-07,7.55695E-07
354 nm,2.60152E-06,4.04515E-07,1.11010E-08,5.70985E-07,1.77493E-06,7.18671E-07,4.00637E-08,0.00000E+00,5.74703E-07,4.78930E-08,9.40525E-07,2.56496E-06,2.42696E-06,1.39700E-06,3.05858E-06,7.96192E-07,1.75948E-06,1.12206E-06,0.00000E+00,1.41773E-06,3.76376E-09,4.83046E-07
