,
,
,
Name,Measurement #1
Date,10/01/2014
Time,11:38am
T_int [ms],604
,
Lv [cd/sqm],8.003E+00
Le [W/(sr*sqm)] (380-780nm),3.741E-02
,
,
Wavelength [nm],Le [W/(sr*sqm*nm)]
713 nm,9.65773E-07
714 nm,5.32126E-07
715 nm,1.27708E-07
716 nm,8.97373E-07
717 nm,2.58800E-09
718 nm,9.91715E-07
719 nm,0.00000E+00
720 nm,6.92013E-07
721 nm,9.47025E-07
722 nm,1.38501E-06
723 nm,4.26068E-08
724 nm,1.81910E-07
725 nm,0.00000E+00
726 nm,2.31029E-06
727 nm,0.00000E+00
728 nm,1.00280E-06
729 nm,4.71480E-07
730 nm,0.00000E+00
731 nm,0.00000E+00
732 nm,6.48533E-09
733 nm,5.01966E-09
734 nm,0.00000E+00
735 nm,0.00000E+00
736 nm,4.93729E-07
737 nm,4.57810E-07
738 nm,3.64795E-07
739 nm,4.23738E-08
740 nm,1.04441E-06
741 nm,8.33369E-07
742 nm,7.81722E-08
743 nm,1.04127E-07
744 nm,6.62358E-07
745 nm,4.32321E-07
746 nm,5.98736E-08
747 nm,7.93625E-07
748 nm,4.35489E-07
749 nm,1.22024E-06
750 nm,3.89878E-07
751 nm,0.00000E+00
752 nm,2.49523E-07
753 nm,1.39552E-06
754 nm,5.11684E-07
755 nm,3.49348E-08
756 nm,0.00000E+00
757 nm,1.35247E-06
758 nm,2.03772E-07
759 nm,1.74589E-06
760 nm,0.00000E+00
761 nm,3.03068E-07
762 nm,0.00000E+00
763 nm,2.23347E-07
764 nm,1.93693E-06
765 nm,2.73326E-07
766 nm,0.00000E+00
767 nm,3.63633E-09
768 nm,1.70038E-07
769 nm,3.70622E-07
770 nm,1.05245E-07
771 nm,1.21646E-06
772 nm,9.19002E-07
773 nm,0.00000E+00
774 nm,4.32782E-07
775 nm,3.60537E-09
776 nm,3.51942E-07
777 nm,8.22116E-07
778 nm,1.12180E-06
779 nm,2.69123E-09
780 nm,1.32960E-08
