,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Name,100,90,80,70,60,50,40,30,20,10,0,n10,n20,n30,n40,n50,n60,n70,n80,n90,n100
Date,10/01/2014,10/01/2014,10/01/2014,10/01/2014,10/01/2014,10/01/2014,10/01/2014,10/01/2014,10/01/2014,10/01/2014,10/01/2014,10/01/2014,10/01/2014,10/01/2014,10/01/2014,10/01/2014,10/01/2014,10/01/2014,10/01/2014,10/01/2014,10/01/2014
Time,11:42am,11:45am,11:46am,11:47am,11:47am,11:48am,11:49am,11:50am,11:50am,11:51am,11:51am,11:52am,11:52am,11:53am,11:54am,11:55am,11:55am,11:56am,11:57am,11:59am,12:00pm
T_int [ms],244,253,274,286,305,321,339,358,383,410,437,476,513,572,637,705,824,976,1000,1463,1974
393 nm,2.01057E-06,3.13152E-06,3.48156E-06,3.23745E-06,2.63076E-06,2.74138E-06,2.86888E-06,2.04347E-06,1.61579E-06,2.22078E-06,1.72303E-06,1.79488E-06,1.49462E-06,1.32509E-06,1.20579E-06,1.41199E-06,1.27210E-06,9.40737E-07,5.00147E-07,1.46007E-07,2.53150E-07
394 nm,2.36053E-06,2.96575E-06,2.93126E-06,1.93033E-06,3.21350E-06,2.53177E-06,1.96380E-06,2.13444E-06,2.25713E-06,2.83576E-06,1.76439E-06,2.02283E-06,2.13957E-06,1.81709E-06,1.49514E-06,7.37961E-07,7.73372E-07,8.17318E-07,7.32646E-07,4.09159E-07,2.04669E-07
395 nm,2.93928E-06,4.04942E-06,2.92491E-06,2.94315E-06,2.59951E-06,2.50668E-06,2.02467E-06,2.28002E-06,1.03134E-06,2.16108E-06,1.94569E-06,1.61824E-06,2.20685E-06,2.40939E-06,1.54906E-06,1.37238E-06,1.00969E-06,6.64194E-07,6.57007E-07,9.95775E-07,5.48530E-07
396 nm,2.13666E-06,4.20186E-06,2.93613E-06,3.52763E-06,2.81106E-06,3.55087E-06,2.58595E-06,3.04253E-06,2.52304E-06,2.87633E-06,1.79673E-06,1.74642E-06,1.56077E-06,1.08194E-06,5.12981E-07,3.60343E-07,7.04073E-07,9.89364E-07,6.74530E-07,6.20032E-07,5.97122E-07
397 nm,4.79907E-06,2.41581E-06,3.09628E-06,3.80051E-06,2.71209E-06,2.57545E-06,2.71398E-06,2.99391E-06,1.96471E-06,2.43263E-06,1.60046E-06,1.75389E-06,1.54954E-06,2.16205E-06,1.54484E-06,1.14958E-06,1.13661E-06,9.90314E-07,5.30433E-07,2.22566E-07,6.59263E-07
398 nm,4.01529E-06,3.03800E-06,2.54867E-06,3.46526E-06,3.24715E-06,2.17548E-06,3.57733E-06,2.54435E-06,2.77879E-06,2.76057E-06,2.54670E-06,1.16996E-06,2.27458E-06,1.70590E-06,1.77754E-06,9.29654E-07,1.47258E-06,9.68133E-07,8.04345E-07,4.70720E-07,6.41956E-07
399 nm,4.15580E-06,4.01048E-06,3.66281E-06,3.94366E-06,4.12306E-06,2.73397E-06,3.75023E-06,2.60332E-06,2.69249E-06,1.53605E-06,2.90414E-06,1.96276E-06,1.86114E-06,1.77030E-06,1.53374E-06,1.19976E-06,1.11988E-06,1.03987E-06,8.46682E-07,5.49394E-07,3.25220E-07
400 nm,5.23385E-06,3.62451E-06,3.50574E-06,3.61237E-06,3.51322E-06,3.52352E-06,2.63477E-06,3.67430E-06,1.40254E-06,1.91104E-06,1.35853E-06,2.32855E-06,2.19108E-06,2.47765E-06,1.62948E-06,1.68120E-06,6.51526E-07,1.27630E-06,1.20557E-06,5.80805E-07,4.87587E-07
401 nm,5.15696E-06,4.32260E-06,4.26214E-06,4.14996E-06,4.29916E-06,3.78394E-06,2.29751E-06,3.38299E-06,3.26858E-06,3.20139E-06,2.47569E-06,1.88084E-06,1.60996E-06,2.40976E-06,1.67449E-06,1.40841E-06,1.68776E-06,1.23484E-06,1.11546E-06,9.45379E-07,7.36046E-07
402 nm,4.82549E-06,4.29664E-06,3.89271E-06,3.34911E-06,3.60724E-06,3.95445E-06,3.13448E-06,3.12355E-06,3.36159E-06,2.51046E-06,3.12506E-06,2.17360E-06,2.63613E-06,2.31994E-06,1.51209E-06,1.58013E-06,1.40847E-06,1.04611E-06,1.03307E-06,6.18086E-07,7.33993E-07
403 nm,4.91174E-06,4.40430E-06,4.17832E-06,4.23045E-06,3.47564E-06,3.61609E-06,3.56406E-06,2.62556E-06,2.80741E-06,3.22983E-06,2.31302E-06,2.92355E-06,2.67522E-06,2.22477E-06,1.81426E-06,1.73834E-06,1.67992E-06,1.43890E-06,7.36502E-07,5.44077E-07,1.14199E-06
404 nm,5.49054E-06,5.36677E-06,5.09000E-06,4.25593E-06,3.23789E-06,3.83512E-06,3.45885E-06,4.19949E-06,3.57162E-06,3.10773E-06,3.20692E-06,2.49022E-06,2.10391E-06,2.29952E-06,2.43170E-06,2.47632E-06,1.99985E-06,1.16433E-06,1.42604E-06,8.93086E-07,6.89702E-07
405 nm,5.50385E-06,5.65303E-06,5.52280E-06,5.37537E-06,4.44867E-06,4.10379E-06,4.03457E-06,4.16838E-06,3.16524E-06,3.08570E-06,2.49977E-06,2.93505E-06,2.03539E-06,2.36949E-06,2.19141E-06,1.83452E-06,1.47602E-06,1.37875E-06,1.37282E-06,1.09906E-06,6.18158E-07
406 nm,5.18190E-06,6.22428E-06,6.11994E-06,4.61223E-06,5.18404E-06,4.98440E-06,4.22724E-06,4.18751E-06,3.73031E-06,3.16075E-06,3.35527E-06,3.17848E-06,2.60730E-06,2.47223E-06,2.39274E-06,1.79541E-06,1.77923E-06,1.64350E-06,1.21773E-06,7.75513E-07,5.15244E-07
407 nm,6.58974E-06,6.23452E-06,5.02505E-06,5.38112E-06,4.84775E-06,4.19283E-06,4.95968E-06,4.76541E-06,3.98887E-06,3.52205E-06,3.63078E-06,2.70258E-06,2.62236E-06,2.23130E-06,2.66155E-06,1.99785E-06,2.10300E-06,1.37155E-06,1.45556E-06,9.01541E-07,5.22184E-07
408 nm,6.63123E-06,6.43877E-06,6.34511E-06,5.67169E-06,6.18190E-06,4.74077E-06,4.85150E-06,5.02782E-06,3.92489E-06,3.88108E-06,3.59325E-06,3.45012E-06,3.01942E-06,2.81021E-06,2.78986E-06,2.37722E-06,1.93759E-06,1.65554E-06,1.47574E-06,1.03541E-06,7.68948E-07
409 nm,7.62258E-06,6.10478E-06,6.27676E-06,6.53445E-06,5.74045E-06,6.15381E-06,4.39635E-06,5.12414E-06,4.63770E-06,4.24010E-06,5.07414E-06,3.99851E-06,3.13077E-06,3.12977E-06,2.68415E-06,2.53346E-06,2.30198E-06,1.92561E-06,1.63165E-06,6.83405E-07,9.73840E-07
410 nm,8.05219E-06,6.99218E-06,6.87528E-06,6.64616E-06,6.27543E-06,5.05166E-06,5.16901E-06,4.59947E-06,5.06536E-06,4.30299E-06,3.98488E-06,4.29238E-06,3.98471E-06,3.49079E-06,2.86983E-06,2.93189E-06,2.16433E-06,1.64668E-06,1.40018E-06,9.38587E-07,1.15724E-06
411 nm,7.93599E-06,7.64576E-06,7.70702E-06,7.10780E-06,6.42158E-06,5.73894E-06,5.03508E-06,5.74699E-06,5.11001E-06,4.80945E-06,4.07025E-06,3.42849E-06,4.12231E-06,3.48511E-06,2.99607E-06,2.75506E-06,2.81508E-06,1.73720E-06,1.84298E-06,1.16866E-06,1.10618E-06
412 nm,7.68291E-06,7.48425E-06,7.51521E-06,7.86311E-06,7.00690E-06,7.27541E-06,6.34666E-06,5.85710E-06,4.91051E-06,5.12808E-06,4.60642E-06,4.97295E-06,4.56344E-06,3.76190E-06,3.07266E-06,2.83288E-06,2.71149E-06,2.10077E-06,1.76012E-06,1.31221E-06,9.99301E-07
413 nm,9.41092E-06,8.87343E-06,8.02092E-06,7.68763E-06,7.46767E-06,7.02825E-06,6.43922E-06,7.53835E-06,5.21252E-06,6.17523E-06,5.45037E-06,5.45217E-06,4.52909E-06,4.18079E-06,3.67984E-06,3.33851E-06,2.83895E-06,2.47342E-06,2.22681E-06,1.41672E-06,1.11546E-06
414 nm,1.09840E-05,9.23716E-06,9.17522E-06,9.68865E-06,8.11161E-06,7.89254E-06,7.66745E-06,7.03494E-06,6.85320E-06,5.41677E-06,5.57315E-06,5.73851E-06,5.07344E-06,4.86006E-06,4.02831E-06,3.99323E-06,3.35401E-06,2.98274E-06,2.41294E-06,1.43854E-06,9.42919E-07
415 nm,1.13228E-05,9.74811E-06,1.07397E-05,9.39015E-06,9.57444E-06,8.94359E-06,7.70681E-06,8.02908E-06,6.83530E-06,6.94976E-06,6.78483E-06,6.15675E-06,5.78748E-06,4.33933E-06,4.37477E-06,4.12989E-06,3.38588E-06,2.71412E-06,2.40804E-06,1.81893E-06,1.47580E-06
416 nm,1.26500E-05,1.32627E-05,1.18400E-05,1.16659E-05,1.02620E-05,1.01951E-05,9.91981E-06,8.70307E-06,9.32689E-06,7.81586E-06,7.12469E-06,6.77310E-06,5.42009E-06,5.22077E-06,4.64891E-06,3.79455E-06,4.23672E-06,3.16943E-06,2.80851E-06,2.31359E-06,1.25677E-06
417 nm,1.41349E-05,1.36344E-05,1.24628E-05,1.20713E-05,1.18438E-05,1.08642E-05,1.01367E-05,9.35373E-06,8.76401E-06,8.28791E-06,8.33666E-06,7.07652E-06,6.75310E-06,6.60211E-06,5.80143E-06,4.83009E-06,4.07608E-06,3.47403E-06,3.02250E-06,2.19020E-06,1.69073E-06
418 nm,1.65656E-05,1.61408E-05,1.47451E-05,1.47735E-05,1.29484E-05,1.20911E-05,1.20061E-05,1.00629E-05,1.01646E-05,1.03155E-05,8.99177E-06,8.18029E-06,7.75975E-06,6.86142E-06,6.42912E-06,5.45008E-06,4.82001E-06,4.69513E-06,3.66575E-06,2.62971E-06,1.44134E-06
419 nm,1.81137E-05,1.79197E-05,1.67348E-05,1.61799E-05,1.43828E-05,1.33777E-05,1.39407E-05,1.24653E-05,1.18747E-05,1.08603E-05,1.05833E-05,9.34838E-06,9.30682E-06,8.04649E-06,7.24086E-06,6.13147E-06,5.37360E-06,4.48084E-06,3.76162E-06,2.76498E-06,2.63573E-06
